time,p_cp,p_inv,p_ld,p_pv,soc
2018-04-09T00:00:00+1000,0.586199992895126,0.0,0.586199992895126,0.0,0.0
2018-04-09T00:05:00+1000,0.41199999451637226,0.0,0.41199999451637226,0.0,0.0
2018-04-09T00:10:00+1000,0.45459999799728373,0.0,0.45459999799728373,0.0,0.0
2018-04-09T00:15:00+1000,0.5570000064373013,0.0,0.5570000064373013,0.0,0.0
2018-04-09T00:20:00+1000,0.6262000119686123,0.0,0.6262000119686123,0.0,0.0
2018-04-09T00:25:00+1000,0.7164000070095058,0.0,0.7164000070095058,0.0,0.0
2018-04-09T00:30:00+1000,0.6429999923706051,0.0,0.6429999923706051,0.0,0.0
2018-04-09T00:35:00+1000,0.5580000042915338,0.0,0.5580000042915338,0.0,0.0
2018-04-09T00:40:00+1000,0.5556000065803525,0.0,0.5556000065803525,0.0,0.0
2018-04-09T00:45:00+1000,0.5574000048637389,0.0,0.5574000048637389,0.0,0.0
2018-04-09T00:50:00+1000,0.5562000060081479,0.0,0.5562000060081479,0.0,0.0
2018-04-09T00:55:00+1000,0.5602000021934505,0.0,0.5602000021934505,0.0,0.0
2018-04-09T01:00:00+1000,0.5590000033378598,0.0,0.5590000033378598,0.0,0.0
2018-04-09T01:05:00+1000,0.5510000109672545,0.0,0.5510000109672545,0.0,0.0
2018-04-09T01:10:00+1000,0.5788000094890593,0.0,0.5788000094890593,0.0,0.0
2018-04-09T01:15:00+1000,0.7103999888896938,0.0,0.7103999888896938,0.0,0.0
2018-04-09T01:20:00+1000,0.6829999876022335,0.0,0.6829999876022335,0.0,0.0
2018-04-09T01:25:00+1000,0.5512000107765195,0.0,0.5512000107765195,0.0,0.0
2018-04-09T01:30:00+1000,0.5532000088691709,0.0,0.5532000088691709,0.0,0.0
2018-04-09T01:35:00+1000,0.5504000115394587,0.0,0.5504000115394587,0.0,0.0
2018-04-09T01:40:00+1000,0.5488000130653379,0.0,0.5488000130653379,0.0,0.0
2018-04-09T01:45:00+1000,0.5490000128746029,0.0,0.5490000128746029,0.0,0.0
2018-04-09T01:50:00+1000,0.5482000136375424,0.0,0.5482000136375424,0.0,0.0
2018-04-09T01:55:00+1000,0.549000012874603,0.0,0.549000012874603,0.0,0.0
2018-04-09T02:00:00+1000,0.5500000119209286,0.0,0.5500000119209286,0.0,0.0
2018-04-09T02:05:00+1000,0.565200008153915,0.0,0.565200008153915,0.0,0.0
2018-04-09T02:10:00+1000,0.5508000111579889,0.0,0.5508000111579889,0.0,0.0
