time,p_cp,p_inv,p_ld,p_pv,soc
2018-04-09T00:00:00+1000,0.0727999995648856,0,0,0,0
2018-04-09T00:05:00+1000,0.0691999996826048,0,0,0,0
2018-04-09T00:10:00+1000,0.07399999931454622,0,0,0,0
2018-04-09T00:15:00+1000,0.21859999850392287,0,0,0,0
2018-04-09T00:20:00+1000,0.26139999359846067,0,0,0,0
2018-04-09T00:25:00+1000,0.24899999678134863,0,0,0,0
2018-04-09T00:30:00+1000,0.1766000035405154,0,0,0,0
2018-04-09T00:35:00+1000,0.17220000296831062,0,0,0,0
2018-04-09T00:40:00+1000,0.1642000020295376,0,0,0,0
2018-04-09T00:45:00+1000,0.0685999998450274,0,0,0,0
2018-04-09T00:50:00+1000,0.1261999995261426,0,0,0,0
2018-04-09T00:55:00+1000,0.1591999979317184,0,0,0,0
2018-04-09T01:00:00+1000,0.14039999827742541,0,0,0,0
2018-04-09T01:05:00+1000,0.0709999997913832,0,0,0,0
2018-04-09T01:10:00+1000,0.0637999993562692,0,0,0,0
2018-04-09T01:15:00+1000,0.019999999552965,0,0,0,0
2018-04-09T01:20:00+1000,0.019999999552965,0,0,0,0
2018-04-09T01:25:00+1000,0.1299999986588952,0,0,0,0
2018-04-09T01:30:00+1000,0.26579999506473484,0,0,0,0
2018-04-09T01:35:00+1000,0.2547999933362004,0,0,0,0
2018-04-09T01:40:00+1000,0.179400004744529,0,0,0,0
2018-04-09T01:45:00+1000,0.1748000045120712,0,0,0,0
2018-04-09T01:50:00+1000,0.1700000025331966,0,0,0,0
2018-04-09T01:55:00+1000,0.15860000200569582,0,0,0,0
2018-04-09T02:00:00+1000,0.0771999999880784,0,0,0,0
2018-04-09T02:05:00+1000,0.161199998557567,0,0,0,0
2018-04-09T02:10:00+1000,0.1587999981641764,0,0,0,0
2018-04-09T02:15:00+1000,0.0863999994844192,0,0,0,0
2018-04-09T02:20:00+1000,0.0721999996155496,0,0,0,0
2018-04-09T02:25:00+1000,0.029399999603628803,0,0,0,0
2018-04-09T02:30:00+1000,0.019999999552965,0,0,0,0
2018-04-09T02:35:00+1000,0.019999999552965,0,0,0,0
2018-04-09T02:40:00+1000,0.18259999714791741,0,0,0,0
2018-04-09T02:45:00+1000,0.267599995732307,0,0,0,0
2018-04-09T02:50:00+1000,0.21599999964237165,0,0,0,0
2018-04-09T02:55:00+1000,0.1770000043511384,0,0,0,0
2018-04-09T03:00:00+1000,0.1768000048398966,0,0,0,0
2018-04-09T03:05:00+1000,0.17180000275373403,0,0,0,0
2018-04-09T03:10:00+1000,0.1578000022470948,0,0,0,0
2018-04-09T03:15:00+1000,0.1176000002026552,0,0,0,0
2018-04-09T03:20:00+1000,0.159599997103214,0,0,0,0
2018-04-09T03:25:00+1000,0.13839999832212882,0,0,0,0
2018-04-09T03:30:00+1000,0.0705999996513124,0,0,0,0
2018-04-09T03:35:00+1000,0.060199999660253,0,0,0,0
2018-04-09T03:40:00+1000,0.019999999552965,0,0,0,0
2018-04-09T03:45:00+1000,0.0203999995440242,0,0,0,0
2018-04-09T03:50:00+1000,0.032799999117851,0,0,0,0
2018-04-09T03:55:00+1000,0.5842000032961364,0,0,0,0
2018-04-09T04:00:00+1000,0.5865999954938886,0,0,0,0
2018-04-09T04:05:00+1000,0.185400004088878,0,0,0,0
2018-04-09T04:10:00+1000,0.17880000531673382,0,0,0,0
2018-04-09T04:15:00+1000,0.17500000387430142,0,0,0,0
2018-04-09T04:20:00+1000,0.16980000212788543,0,0,0,0
2018-04-09T04:25:00+1000,0.16620000206761842,0,0,0,0
2018-04-09T04:30:00+1000,0.1435999993979928,0,0,0,0
2018-04-09T04:35:00+1000,0.157533331331279,0,0,0,0
2018-04-09T04:40:00+1000,0.10119999885559042,0,0,0,0
2018-04-09T04:45:00+1000,0.07079999953508341,0,0,0,0
2018-04-09T04:50:00+1000,0.040199999511241605,0,0,0,0
2018-04-09T04:55:00+1000,0.019999999552965,0,0,0,0
2018-04-09T05:00:00+1000,0.019999999552965,0,0,0,0
2018-04-09T05:05:00+1000,0.0753999988734718,0,0,0,0
2018-04-09T05:10:00+1000,0.1855999983847136,0,0,0,0
2018-04-09T05:15:00+1000,0.23739999800920444,0,0,0,0
2018-04-09T05:20:00+1000,0.1858000028133388,0,0,0,0
2018-04-09T05:25:00+1000,0.1798000055551524,0,0,0,0
2018-04-09T05:30:00+1000,0.177000004947185,0,0,0,0
2018-04-09T05:35:00+1000,0.1730222253335842,0,0,0,0
2018-04-09T05:40:00+1000,0.1839131329788096,0,0,0,0
2018-04-09T05:45:00+1000,0.15819999814033464,0,0,0,0
2018-04-09T05:50:00+1000,0.1479999987781042,0,0,0,0
2018-04-09T05:55:00+1000,0.07079999968409481,0,0,0,0
2018-04-09T06:00:00+1000,0.069799999445676,0,0,0,0
2018-04-09T06:05:00+1000,0.019999999552965,0,0,0,0
2018-04-09T06:10:00+1000,0.0203999995440242,0,0,0,0
2018-04-09T06:15:00+1000,0.019999999552965,0,0,0,0
2018-04-09T06:20:00+1000,0.13259999886155063,0,0,0,0
2018-04-09T06:25:00+1000,0.16659999728202762,0,0,0,0
2018-04-09T06:30:00+1000,0.20479999929666465,0,0,0,0
2018-04-09T06:35:00+1000,0.18460000276565522,0,0,0,0
2018-04-09T06:40:00+1000,0.18000000685453382,0,0,0,0
2018-04-09T06:45:00+1000,0.1766000053286546,0,0,0,0
2018-04-09T06:50:00+1000,0.1708000022172924,0,0,0,0
2018-04-09T06:55:00+1000,0.2165999987721438,0,0,0,0
2018-04-09T07:00:00+1000,0.1519999974220986,0,0,0,0
2018-04-09T07:05:00+1000,0.0513999995216724,0,0,0,0
