customers
0
0
0
0
0
1
13
25
10
9
48
48
3
3
0
15
20
20
0
0
38
2
0
9
0
5
5
9
9
0
0
0
5
7
2
9
9
0
8
8
0
0
2
0
13
13
0
26
128
128
14
1
1
9
8
0
0
0
33
0
415
11
0
76
20
6
6
9
9
