,DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
4,2021-06-14 00:00:00,176.10123,25.11818,5.95,108.84123,23.37,0.8,0.14,0.18,0.18
4,2021-06-14 00:30:00,155.37946,11.68,10.6,9.95,5.0,0.8,0.03,0.38,0.18
4,2021-06-14 01:00:00,148.26358,18.4,10.6,8.68,4.95,0.75,0.14,0.38,0.18
4,2021-06-14 01:30:00,112.10952,18.4,5.95,9.95,5.07,0.8,0.99,1.81,0.44
4,2021-06-14 02:00:00,73.86359,24.9,10.7,15.15,14.82383,0.8,0.2,1.03,0.41
4,2021-06-14 02:30:00,118.13699,18.4,10.6,9.95,7.73,0.75,0.2,1.03,0.41
4,2021-06-14 03:00:00,106.29617,22.61849,10.6,9.95,15.0,0.75,0.14,0.38,0.18
4,2021-06-14 03:30:00,94.12877,15.71432,15.0,9.95,8.9,0.75,0.99,1.03,0.44
4,2021-06-14 04:00:00,128.43246,18.4,10.6,9.95,9.95,0.75,0.2,1.03,0.2
4,2021-06-14 04:30:00,77.65823,12.75,15.0,8.42364,2.77,0.8,0.55579,0.66975,0.42
4,2021-06-14 05:00:00,78.46665,18.4,10.6,7.73,7.73,0.8,0.18,0.61641,0.2
4,2021-06-14 05:30:00,80.8389,12.75,10.7,6.76047,4.88,0.8,0.18,0.46382,0.2
4,2021-06-14 06:00:00,68.88499,14.73,10.7,18.48797,5.73,0.8,0.99,1.94,0.5
4,2021-06-14 06:30:00,112.23446,18.4,10.6,26.4,2.84399,0.75,0.14,0.45,0.18
4,2021-06-14 07:00:00,134.48545,18.4,10.6,14.98,2.29,0.75,0.34,1.03,0.41
4,2021-06-14 07:30:00,215.89,24.9,13.7,146.0,26.0,0.8,0.5,1.03,0.41
4,2021-06-14 08:00:00,138.24125,59.0,13.7,104.75273,9.95,0.75,0.14,0.73,0.18
4,2021-06-14 08:30:00,185.5789,59.99,10.6,143.8389,28.9,0.75,0.18,1.0,0.18
4,2021-06-14 09:00:00,191.71283,73.11949,10.6,154.8329,29.65,0.75,0.6,0.80991,0.42
4,2021-06-14 09:30:00,187.81547,33.81,5.95,113.64547,16.05,0.75,0.2,1.03,0.18
4,2021-06-14 10:00:00,141.56985,18.4,10.6,20.45,5.0,0.75,0.18,0.8,0.18
4,2021-06-14 10:30:00,93.86315,14.73,5.95,27.01351,8.68,0.8,0.34,1.03,0.41
4,2021-06-14 11:00:00,104.83754,12.75,12.36,6.0,4.57511,0.75,0.34,0.95,0.41
4,2021-06-14 11:30:00,81.59737,18.4,12.60333,13.73,5.88,0.75,1.0,3.4,0.42
4,2021-06-14 12:00:00,81.29575,25.0,10.7,31.33557,15.1,0.88,0.2,0.95,0.2
4,2021-06-14 12:30:00,69.52491,19.33315,15.0,15.15,15.1,0.8,0.99,1.03,0.42
4,2021-06-14 13:00:00,88.51416,15.02525,14.0,14.98,9.5,0.8,1.0,1.41,0.7
4,2021-06-14 13:30:00,101.85438,30.3,13.25994,14.98,9.55174,0.8,0.2,1.0,0.41
4,2021-06-14 14:00:00,104.2964,13.99,13.7,13.4,9.09004,0.8,0.18,0.95,0.41
4,2021-06-14 14:30:00,98.0897,12.75,14.0,9.5,4.88,0.8,0.2,0.8,0.41
4,2021-06-14 15:00:00,122.59325,12.75,10.6,8.68,3.68,0.8,0.14,0.8,0.41
4,2021-06-14 15:30:00,64.9567,33.81,14.0,24.74,4.49,0.8,0.18,0.8,0.18
4,2021-06-14 16:00:00,94.68813,33.81,10.78,68.55194,5.0,0.8,0.14,0.44,0.18
4,2021-06-14 16:30:00,105.90035,39.37591,17.52,240.07595,5.0,0.8,0.14,0.45,0.18
4,2021-06-14 17:00:00,299.99,30.3,14.0,86.0,15.0,0.8,0.18,0.8,0.18
4,2021-06-14 17:30:00,5661.98774,99.0,20.0,200.0,22.36711,0.8,0.14,0.45,0.18
4,2021-06-14 18:00:00,14776.23261,150.99014,20.9,1155.85118,22.0,0.8,0.03,0.18,0.18
4,2021-06-14 18:30:00,14893.50276,1446.13994,20.9,7430.61468,26.0,0.8,0.03,0.19,0.18
4,2021-06-14 19:00:00,13396.18715,148.0,20.9,12500.0,26.0,0.95,0.18,0.44,0.18
4,2021-06-14 19:30:00,282.19956,24.9,20.0,1000.0,12.89,0.8,0.01,0.18,0.18
4,2021-06-14 20:00:00,299.99,24.9,20.0,220.94865,8.57705,0.8,0.14,0.38,0.18
4,2021-06-14 20:30:00,299.99,31.47425,18.98,1124.91972,22.0,0.8,0.18,0.5,0.18
4,2021-06-14 21:00:00,133.15211,24.9,18.98,393.52656,3.69,0.8,0.2,0.45,0.41
4,2021-06-14 21:30:00,299.99,24.9,10.6,200.0,9.6,0.8,0.14,0.45,0.18
4,2021-06-14 22:00:00,299.4,24.9,10.6,135.53367,15.1,0.95,0.14,0.8,0.2
4,2021-06-14 22:30:00,299.4,24.9,10.7,100.89,15.1,0.95,0.14,0.18,0.18
4,2021-06-14 23:00:00,185.8154,24.9,7.73,120.5554,23.37,0.8,0.19,0.44,0.18
4,2021-06-14 23:30:00,227.74702,24.9,5.95,171.65702,15.0,0.8,1.0,3.4,0.44
