,INTERVAL_DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
24,2021-06-14 00:00:00,79.37841,18.4,6.13,46.5,8.87492,0.8,0.03,0.18,0.18
24,2021-06-14 00:05:00,118.00002,10.55002,10.6,9.95,5.0,0.8,0.03,0.38,0.18
24,2021-06-14 00:10:00,118.00006,11.68,10.6,7.73,3.68,0.75,0.14,0.44,0.18
24,2021-06-14 00:15:00,117.44,10.95816,10.6,6.0,3.68,0.75,0.03,0.19,0.18
24,2021-06-14 00:20:00,109.10611,7.87,10.6,6.0,2.29,0.75,0.03,0.38,0.18
24,2021-06-14 00:25:00,88.9998,7.87,10.6,6.0,2.29,0.75,0.03,0.38,0.18
24,2021-06-14 00:30:00,88.9999,12.75,10.6,6.0,2.29,0.75,0.14,0.8,0.18
24,2021-06-14 00:35:00,165.50298,20.68,10.6,8.68,3.68,0.75,0.03,0.19,0.18
24,2021-06-14 00:40:00,163.69767,18.4,10.7,9.52,4.95,0.75,0.14,0.38,0.18
24,2021-06-14 00:45:00,161.89648,18.65,10.6,7.73,6.99,0.75,0.03,0.38,0.18
24,2021-06-14 00:50:00,152.6282,20.68,10.6,8.68,7.73,0.75,0.03,0.38,0.18
24,2021-06-14 00:55:00,94.40006,18.4,10.6,7.73,5.0,0.75,0.03,0.19,0.18
24,2021-06-14 01:00:00,79.64145,18.4,10.6,7.73,4.95,0.75,0.03,0.38,0.18
24,2021-06-14 01:05:00,131.18,23.73,6.0,9.95,5.73,0.8,0.14,0.44,0.18
24,2021-06-14 01:10:00,78.90691,18.4,7.73011,9.95,5.07,0.8,0.14,0.44,0.18
24,2021-06-14 01:15:00,70.85981,18.4,7.73,9.95,5.07,0.8,0.14,0.44,0.18
24,2021-06-14 01:20:00,82.51039,18.4,6.13,9.95,5.07,0.75,0.14,0.44,0.18
24,2021-06-14 01:25:00,82.98319,18.4,6.01676,9.95,5.07,0.8,0.14,0.45,0.18
24,2021-06-14 01:30:00,67.47803,18.4,7.985,9.29,5.73,0.75,0.18,0.8,0.2
24,2021-06-14 01:35:00,73.20743,24.9,10.7,15.15,13.28123,0.8,0.2,1.0,0.41
24,2021-06-14 01:40:00,67.40576,24.9,11.18174,15.0,13.73,0.8,0.2,1.03,0.41
24,2021-06-14 01:45:00,75.24975,24.9,14.0,14.98,9.87795,0.8,1.0,1.8,0.99
