,DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
3,2021-03-12 00:00:00,35.34711,14.73,13.8,4.98,3.68,0.88,0.14,1.03,0.42
3,2021-03-12 00:30:00,34.28203,11.68,11.0,3.0,2.29,0.88,0.14,1.03,0.42
3,2021-03-12 01:00:00,34.18346,11.68,11.0,1.75,2.0,0.88,0.14,1.03,0.41
3,2021-03-12 01:30:00,33.73307,11.68,11.0,1.48,1.73,0.87,0.14,1.03,0.41
3,2021-03-12 02:00:00,30.50353,11.0,11.0,1.49,1.73,0.87,0.2,1.95,0.44
3,2021-03-12 02:30:00,32.63887,10.98,11.0,1.73,1.73,0.87,0.14,1.4,0.41
3,2021-03-12 03:00:00,30.0,11.68,11.0,1.73,1.95,0.87,0.21,1.95,0.44
3,2021-03-12 03:30:00,29.78261,11.68,11.56105,1.73,1.98,0.87,0.34,1.95,0.44
3,2021-03-12 04:00:00,30.0,11.68,10.7,1.75,1.73,0.87,0.2,1.94,0.42
3,2021-03-12 04:30:00,32.68578,13.5,11.0,3.0,1.84,0.87,0.2,1.03,0.42
3,2021-03-12 05:00:00,32.44414,12.75,11.0,2.0,2.01,0.87,0.14,1.0,0.41
3,2021-03-12 05:30:00,33.64181,12.75,11.0,4.0,4.49,0.88,1.23,3.66,1.03
3,2021-03-12 06:00:00,38.57095,13.8,10.7,7.73,8.49,0.88,1.23,3.66,1.1
3,2021-03-12 06:30:00,42.43159,14.73,13.37195,8.68,8.49,0.88,1.0,1.86668,1.0
3,2021-03-12 07:00:00,42.63547,15.0,14.44,8.68,8.49,0.88,0.4,1.03,0.44
3,2021-03-12 07:30:00,36.35338,20.68,11.0,6.71731,7.85608,0.88,0.99,1.0736,0.99
3,2021-03-12 08:00:00,33.14523,15.0,14.0,7.73,6.02035,0.88,0.99,1.03,1.03
3,2021-03-12 08:30:00,30.01851,15.0,11.0,6.0,5.0,0.88,0.4,1.03,0.7
3,2021-03-12 09:00:00,29.67652,14.73,11.0,4.99,5.73,0.88,0.81,1.06028,0.99
3,2021-03-12 09:30:00,30.0,15.36,10.7,4.98,8.2199,0.88,0.34,1.0601,0.44
3,2021-03-12 10:00:00,30.0,14.73,10.99,3.0,4.27559,0.88,0.14,1.06028,0.44
3,2021-03-12 10:30:00,28.25362,15.36,13.8,3.68,3.62198,0.88,0.14,1.0599,0.41
3,2021-03-12 11:00:00,29.4668,20.62,13.8,2.78,3.8001,0.88,0.14,0.44,0.2
3,2021-03-12 11:30:00,29.75481,13.8,13.8,1.75,2.78,0.88,0.05,0.94,0.41
3,2021-03-12 12:00:00,30.0,15.0,13.79,2.0,2.5175,0.88,0.05,0.44,0.2
3,2021-03-12 12:30:00,30.0,14.7,11.0,2.0,2.36,0.9,0.03,0.44,0.2
3,2021-03-12 13:00:00,30.0,17.19,13.79,2.0,2.54725,0.88,0.14,0.94,0.41
3,2021-03-12 13:30:00,30.01058,16.10952,13.79,2.0,1.98,0.88,0.14,0.94,0.2
3,2021-03-12 14:00:00,30.0,17.49,13.8,1.45,2.63804,0.88,0.14,0.95,0.41
3,2021-03-12 14:30:00,30.0,22.82286,13.81,1.48,2.55191,0.9,0.14,1.0,0.44
3,2021-03-12 15:00:00,34.33122,17.79,7.73,2.78,5.50267,0.88,0.03,0.94,0.41
3,2021-03-12 15:30:00,31.37839,15.0,7.5,1.49,3.68,0.88,0.03,0.44,0.2
3,2021-03-12 16:00:00,30.7807,15.0,5.5,2.78,8.49,0.88,0.14,0.94,0.41
3,2021-03-12 16:30:00,31.69566,20.68,13.8,6.0,8.49,0.88,1.0,1.8,0.79
3,2021-03-12 17:00:00,36.75051,22.82286,10.98,8.88,8.68,0.88,0.05,0.44,0.2
3,2021-03-12 17:30:00,35.36359,20.68,11.78,9.5,8.68,0.88,1.1,2.01933,1.0
3,2021-03-12 18:00:00,56.06073,30.0,9.25,10.6886,13.84117,0.88,0.03,0.94,0.18
3,2021-03-12 18:30:00,95.06,20.16,14.0,30.0,54.80218,0.88,0.03,0.44,0.15
3,2021-03-12 19:00:00,71.94,43.68,6.0,21.81002,52.05,0.88,0.14,0.95,0.18
3,2021-03-12 19:30:00,38.97735,23.73,18.99,9.5,18.74341,0.88,0.05,0.44,0.15
3,2021-03-12 20:00:00,51.98855,36.36,14.0,9.5,26.0,0.9,0.05,0.44,0.18
3,2021-03-12 20:30:00,33.37794,14.73,14.0,4.98,13.48794,0.88,0.03,0.44,0.15
3,2021-03-12 21:00:00,55.0,20.0,11.0,9.5,15.0,0.88,0.03,0.44,0.15
3,2021-03-12 21:30:00,34.23299,28.05299,20.8,7.73,8.49,0.89,0.34,1.03,0.18
3,2021-03-12 22:00:00,31.43997,25.25997,18.98,7.73,8.49,0.88,0.21,1.03,0.18
3,2021-03-12 22:30:00,40.41003,30.0,14.0,9.5,8.49,0.9,0.2,0.95,0.2
3,2021-03-12 23:00:00,36.87,30.0,14.73,9.5,8.49,0.9,0.4,1.03,0.41
3,2021-03-12 23:30:00,34.29976,26.06976,14.0,6.92976,8.49,0.9,0.2,0.95,0.2
