,DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
1,2021-01-22 00:00:00,48.16856,7.0,6.0,3.68,1.98,0.88,1.23,3.67,1.03
1,2021-01-22 00:30:00,46.66774,7.0,6.0,3.68,1.73,0.88,1.0,3.67,1.03
1,2021-01-22 01:00:00,50.09328,5.73,6.0,2.0,1.73,0.88,1.23,3.68,1.0
1,2021-01-22 01:30:00,60.44,3.38,6.0,2.95,1.73,0.88,1.23,3.68,1.0
1,2021-01-22 02:00:00,62.0,7.0,6.0,2.0,1.73,0.89,1.23,3.68,1.03
1,2021-01-22 02:30:00,69.45,11.0,6.0,2.0,1.73,0.88,1.23,3.68,0.99
1,2021-01-22 03:00:00,62.0,11.68,6.0,1.96586,1.73,0.88,1.23,3.68,1.0
1,2021-01-22 03:30:00,62.0,11.0,4.99,1.95,1.73,0.88,1.98,3.95,1.03
1,2021-01-22 04:00:00,62.0,11.0,5.50547,2.69633,1.73,0.89,1.23,3.68,1.0
1,2021-01-22 04:30:00,40.86543,7.98,10.99,4.98,1.73,0.89,1.32653,3.68,1.0
1,2021-01-22 05:00:00,51.71275,11.68,11.0,5.0,1.98,0.9,1.23,3.67,1.03
1,2021-01-22 05:30:00,49.82163,8.0,7.73,4.98,2.0,0.9,1.1,3.68,1.03
1,2021-01-22 06:00:00,76.0,8.0,10.99,4.98,2.0,0.9,0.81,1.99,0.43
1,2021-01-22 06:30:00,61.0,2.55,11.0,3.65155,1.72896,0.88,0.4,1.8,0.42
1,2021-01-22 07:00:00,61.0,1.51036,11.0,3.16588,1.7,0.88,0.21,1.8,0.42
1,2021-01-22 07:30:00,60.44,1.99,10.30333,2.0,1.6,0.88,0.4,1.8,0.42
1,2021-01-22 08:00:00,42.29941,11.0,11.0,1.45,1.6,0.88,0.81,3.68,0.99
1,2021-01-22 08:30:00,54.1,9.99,10.99,1.45,1.49,0.88,0.4,1.99,0.42
1,2021-01-22 09:00:00,60.44,3.38,8.49,1.45,0.81,0.88,0.99,4.49,1.78
1,2021-01-22 09:30:00,34.57029,2.81364,8.49,1.0,0.75,0.87,0.94737,4.49,0.99
1,2021-01-22 10:00:00,30.51021,5.73,8.3,0.99,0.75,0.87,0.81,4.49,0.99
1,2021-01-22 10:30:00,31.09617,10.98,7.5675,0.99,1.0,0.87,0.99,6.10457,0.79
1,2021-01-22 11:00:00,29.92037,7.0,8.73167,0.73,0.75,0.87,1.1,7.41336,0.99
1,2021-01-22 11:30:00,28.35448,7.0,8.73167,0.73,0.75,0.87,1.1,7.3,0.99
1,2021-01-22 12:00:00,33.72779,10.36,8.77167,1.0,1.0,0.87,1.1,5.68742,1.03
1,2021-01-22 12:30:00,32.48558,11.0,8.18167,1.45,1.49,0.88,1.1,4.79404,0.44
1,2021-01-22 13:00:00,34.3281,7.0,7.73,1.35529,1.49,0.88,1.0,3.73,0.42
1,2021-01-22 13:30:00,34.09281,5.73,6.0,1.49,1.6,0.88,1.0,2.0,0.99
1,2021-01-22 14:00:00,36.01388,7.0,6.0,2.0,1.73,0.88,1.1,3.73,0.99
1,2021-01-22 14:30:00,36.3851,7.0,4.99,3.27262,1.98,0.88,1.0,1.81,0.42
1,2021-01-22 15:00:00,34.31656,10.36,5.69,1.73,1.73,0.88,1.23,4.49,1.03
1,2021-01-22 15:30:00,37.55218,14.64955,5.36,3.83637,1.98,0.88,0.95,1.99,0.44
1,2021-01-22 16:00:00,36.51152,8.0,9.24,3.68,3.68,0.89,0.4,1.95,0.42
1,2021-01-22 16:30:00,35.47838,13.80144,9.25,6.98885,4.49,0.88,0.21,1.8,0.42
1,2021-01-22 17:00:00,55.95073,20.68,14.0,11.83005,8.49,0.9,0.5,2.0,0.44
1,2021-01-22 17:30:00,36.33438,11.89044,5.36,4.98,4.00044,0.88,0.4,1.95,0.44
1,2021-01-22 18:00:00,60.15283,26.81014,11.0,17.42014,8.49,0.9,0.2,1.03,0.42
1,2021-01-22 18:30:00,60.36656,14.73,9.25,20.7,8.49,0.9,0.81,4.5,0.44
1,2021-01-22 19:00:00,62.0,25.01,11.0,33.33,17.35564,0.9,1.23,6.73,1.0
1,2021-01-22 19:30:00,62.0,13.73956,14.0,16.17237,8.49,0.9,0.81,1.9,0.44
1,2021-01-22 20:00:00,62.0,13.45,5.36,20.30807,7.651,0.9,0.2,1.03,0.42
1,2021-01-22 20:30:00,61.99,24.38954,6.0,15.0,8.49,0.9,0.5,1.8,0.44
1,2021-01-22 21:00:00,56.89708,10.3335,13.95,9.5,5.0,0.9,0.2,1.03,0.42
1,2021-01-22 21:30:00,57.02451,13.0,5.36,8.68,2.78,0.9,0.05,1.03,0.2
1,2021-01-22 22:00:00,42.20805,7.89,2.5,4.98,1.73,0.88,0.4,1.4,0.42
1,2021-01-22 22:30:00,47.19237,7.89,4.99,4.98,2.0,0.9,0.99,1.81,0.44
1,2021-01-22 23:00:00,41.01839,8.0,4.99,3.68,1.73,0.88,0.81,1.81,0.44
1,2021-01-22 23:30:00,42.99113,10.49544,6.0,3.68,1.73,0.88,0.4,1.8,0.42
