,INTERVAL_DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
48,2021-06-14 00:00:00,85.08883,18.4,6.13,46.5,8.87492,0.8,0.03,0.18,0.18
48,2021-06-14 00:05:00,130.55002,10.55002,10.6,9.95,5.0,0.8,0.03,0.38,0.18
48,2021-06-14 00:10:00,133.12382,11.68,10.6,7.73,3.68,0.75,0.14,0.44,0.18
48,2021-06-14 00:15:00,130.95816,10.95816,10.6,6.0,3.68,0.75,0.03,0.19,0.18
48,2021-06-14 00:20:00,120.96313,7.87,10.6,6.0,2.29,0.75,0.03,0.38,0.18
48,2021-06-14 00:25:00,96.97063,7.87,10.6,6.0,2.29,0.75,0.03,0.38,0.18
48,2021-06-14 00:30:00,94.82066,12.75,10.6,6.0,2.29,0.75,0.14,0.8,0.18
48,2021-06-14 00:35:00,174.32,20.68,10.6,8.68,3.68,0.75,0.03,0.19,0.18
48,2021-06-14 00:40:00,174.32,18.4,10.7,9.52,4.95,0.75,0.14,0.38,0.18
48,2021-06-14 00:45:00,174.32,18.65,10.6,7.73,6.99,0.75,0.03,0.38,0.18
48,2021-06-14 00:50:00,165.23866,20.68,10.6,8.68,7.73,0.75,0.03,0.38,0.18
48,2021-06-14 00:55:00,103.32976,18.4,10.6,7.73,5.0,0.75,0.03,0.19,0.18
48,2021-06-14 01:00:00,84.26193,18.4,10.6,7.73,4.95,0.75,0.03,0.38,0.18
48,2021-06-14 01:05:00,144.35287,23.73,6.0,9.95,5.73,0.8,0.14,0.44,0.18
48,2021-06-14 01:10:00,83.89,18.4,7.73011,9.95,5.07,0.8,0.14,0.44,0.18
48,2021-06-14 01:15:00,72.84068,18.4,7.73,9.95,5.07,0.8,0.14,0.44,0.18
48,2021-06-14 01:20:00,83.89,18.4,6.13,9.95,5.07,0.75,0.14,0.44,0.18
48,2021-06-14 01:25:00,83.89,18.4,6.01676,9.95,5.07,0.8,0.14,0.45,0.18
48,2021-06-14 01:30:00,67.48,18.4,7.985,9.29,5.73,0.75,0.18,0.8,0.2
48,2021-06-14 01:35:00,73.08891,24.9,10.7,15.15,13.28123,0.8,0.2,1.0,0.41
48,2021-06-14 01:40:00,67.0,24.9,11.18174,15.0,13.73,0.8,0.2,1.03,0.41
48,2021-06-14 01:45:00,73.98,24.9,14.0,14.98,9.87795,0.8,1.0,1.8,0.99
48,2021-06-14 01:50:00,61.99,24.9,10.7,14.98,10.54174,0.75,0.18,0.8,0.2
48,2021-06-14 01:55:00,61.05823,24.9,10.7,14.98,9.5,0.75,0.18,0.8,0.2
48,2021-06-14 02:00:00,60.47,24.9,10.7,9.95,12.13588,0.8,0.34,1.03,0.42
48,2021-06-14 02:05:00,114.89,24.9,10.6,9.95,6.3484,0.75,0.18,0.95,0.2
48,2021-06-14 02:10:00,91.02531,18.4,10.7,6.0,5.0,0.75,0.18,1.0,0.41
48,2021-06-14 02:15:00,63.95598,23.73,10.7,22.35,16.05,0.8,0.18,1.0,0.2
48,2021-06-14 02:20:00,90.49236,18.4,10.7,13.73,13.49628,0.8,0.18,0.8,0.2
48,2021-06-14 02:25:00,91.16506,18.4,10.6,8.68,8.68,0.75,0.18,0.95,0.2
48,2021-06-14 02:30:00,78.20369,18.4,10.6,7.73,8.68,0.75,0.18,0.8,0.18
