,INTERVAL_DATETIME,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
36,2021-06-14 00:00:00,27.34,18.4,6.13,0.49,8.87492,0.8,0.03,0.18,0.18
36,2021-06-14 00:05:00,27.34,10.55002,10.6,0.49,5.0,0.8,0.03,0.38,0.18
36,2021-06-14 00:10:00,27.34,11.68,10.6,0.49,3.68,0.75,0.14,0.44,0.18
36,2021-06-14 00:15:00,27.34,10.95816,10.6,0.49,3.68,0.75,0.03,0.19,0.18
36,2021-06-14 00:20:00,27.34,7.87,10.6,0.49,2.29,0.75,0.03,0.38,0.18
36,2021-06-14 00:25:00,27.34,7.87,10.6,0.49,2.29,0.75,0.03,0.38,0.18
36,2021-06-14 00:30:00,27.34,12.75,10.6,0.49,2.29,0.75,0.14,0.8,0.18
36,2021-06-14 00:35:00,27.34,20.68,10.6,0.49,3.68,0.75,0.03,0.19,0.18
36,2021-06-14 00:40:00,27.34,18.4,10.7,0.49,4.95,0.75,0.14,0.38,0.18
36,2021-06-14 00:45:00,27.34,18.65,10.6,0.49,6.99,0.75,0.03,0.38,0.18
36,2021-06-14 00:50:00,27.34,20.68,10.6,0.49,7.73,0.75,0.03,0.38,0.18
36,2021-06-14 00:55:00,27.34,18.4,10.6,0.49,5.0,0.75,0.03,0.19,0.18
36,2021-06-14 01:00:00,27.34,18.4,10.6,0.49,4.95,0.75,0.03,0.38,0.18
36,2021-06-14 01:05:00,54.612,23.73,6.0,0.49,5.73,0.8,0.14,0.44,0.18
36,2021-06-14 01:10:00,54.612,18.4,7.73011,0.49,5.07,0.8,0.14,0.44,0.18
36,2021-06-14 01:15:00,54.612,18.4,7.73,0.49,5.07,0.8,0.14,0.44,0.18
36,2021-06-14 01:20:00,54.612,18.4,6.13,0.49,5.07,0.75,0.14,0.44,0.18
36,2021-06-14 01:25:00,54.59166,18.4,6.01676,0.49,5.07,0.8,0.14,0.45,0.18
36,2021-06-14 01:30:00,53.81031,18.4,7.985,2.85468,5.73,0.75,0.18,0.8,0.2
36,2021-06-14 01:35:00,27.34,24.9,10.7,0.49,13.28123,0.8,0.2,1.0,0.41
36,2021-06-14 01:40:00,27.34,24.9,11.18174,0.49,13.73,0.8,0.2,1.03,0.41
36,2021-06-14 01:45:00,27.34,24.9,14.0,0.49,9.87795,0.8,1.0,1.8,0.99
36,2021-06-14 01:50:00,27.34,24.9,10.7,0.49,10.54174,0.75,0.18,0.8,0.2
36,2021-06-14 01:55:00,40.71221,24.9,10.7,0.49,9.5,0.75,0.18,0.8,0.2
36,2021-06-14 02:00:00,52.99036,24.9,10.7,9.36735,12.13588,0.8,0.34,1.03,0.42
36,2021-06-14 02:05:00,53.55444,24.9,10.6,0.49,6.3484,0.75,0.18,0.95,0.2
36,2021-06-14 02:10:00,53.24086,18.4,10.7,0.49,5.0,0.75,0.18,1.0,0.41
36,2021-06-14 02:15:00,53.45351,23.73,10.7,18.9171,16.05,0.8,0.18,1.0,0.2
36,2021-06-14 02:20:00,53.85722,18.4,10.7,0.49,13.49628,0.8,0.18,0.8,0.2
36,2021-06-14 02:25:00,53.55444,18.4,10.6,0.49,8.68,0.75,0.18,0.95,0.2
36,2021-06-14 02:30:00,53.87747,18.4,10.6,0.49,8.68,0.75,0.18,0.8,0.18
36,2021-06-14 02:35:00,55.3,21.20461,10.7,0.49,13.73,0.75,0.03,0.18,0.18
36,2021-06-14 02:40:00,53.87747,18.4,10.7,0.49,8.68,0.75,0.18,0.8,0.18
36,2021-06-14 02:45:00,55.29752,19.1188,10.7,0.49,12.38935,0.75,0.03,0.18,0.18
36,2021-06-14 02:50:00,55.3,18.4,10.6,0.49,8.49545,0.75,0.03,0.18,0.18
36,2021-06-14 02:55:00,55.3,18.4,10.6,0.49,8.68,0.75,0.03,0.18,0.18
36,2021-06-14 03:00:00,55.29752,18.4,10.7,2.9107,12.57575,0.75,0.03,0.18,0.18
36,2021-06-14 03:05:00,55.3,21.75995,14.0,0.49,8.76741,0.75,0.14,0.18,0.18
36,2021-06-14 03:10:00,55.3,17.59771,10.88,0.49,8.68,0.75,0.18,0.8,0.18
36,2021-06-14 03:15:00,55.3,16.34705,10.7,0.49,8.49545,0.75,0.03,0.18,0.18
36,2021-06-14 03:20:00,55.3,16.60704,10.7,0.49,8.68,0.75,0.08668,0.19,0.18
