,SETTLEMENTDATE,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
1197,2021-01-22 00:00:00,46.43079,3.56096,6.0,2.95,1.7,0.88,0.99,1.81,0.99
1202,2021-01-22 00:05:00,49.12686,7.0,7.73,3.0,1.73,0.88,0.99,1.95,0.99
1207,2021-01-22 00:10:00,56.68,7.0,6.0,2.95,1.73,0.88,0.99,1.99,1.03
1212,2021-01-22 00:15:00,50.5797,4.97857,6.0,2.62,1.73,0.88,0.99,1.99,1.03
1217,2021-01-22 00:20:00,49.79586,4.97857,6.0,2.62,1.73,0.88,0.81,1.8,0.44
1222,2021-01-22 00:25:00,47.72407,5.45,6.0,2.6689,1.73,0.88,0.81,1.8,0.79
1227,2021-01-22 00:30:00,52.58462,4.93137,6.0,3.0,1.73,0.88,0.99,1.99,1.0
1232,2021-01-22 00:35:00,50.8122,5.73,6.0,2.0,1.73,0.88,1.1,1.99,0.99
1237,2021-01-22 00:40:00,50.12686,5.73,6.0,2.0,1.7,0.88,1.1,1.99,0.99
1242,2021-01-22 00:45:00,50.81574,11.68,6.0,1.95,1.6,0.88,1.23,3.67,1.03
1247,2021-01-22 00:50:00,51.06156,11.68,6.0,1.95,1.6,0.88,1.1,1.99,0.99
1252,2021-01-22 00:55:00,51.28056,11.0,6.0,1.95,1.6,0.88,1.23,3.68,1.03
1257,2021-01-22 01:00:00,50.66158,11.68,4.99,1.98,1.6,0.88,1.1,1.99,0.99
1262,2021-01-22 01:05:00,58.87134,4.74043,4.99,2.62,1.6,0.88,1.1,2.95,0.99
1267,2021-01-22 01:10:00,57.43071,7.98,4.99,2.62,1.6,0.88,1.1,2.0,0.99
1272,2021-01-22 01:15:00,62.48,13.48,6.0,2.0,1.6,0.88,1.1,2.0,0.99
1277,2021-01-22 01:20:00,61.0,11.68,4.99,2.0,1.6,0.88,1.23,3.68,1.03
1282,2021-01-22 01:25:00,62.0,11.55,4.99,2.0,1.6,0.88,1.0,2.0,0.99
1287,2021-01-22 01:30:00,61.0,11.0,6.0,2.0,1.6,0.88,1.0,2.0,0.99
1292,2021-01-22 01:35:00,61.0,7.0,6.0,2.0,1.7,0.88,1.0,2.0,1.0
1297,2021-01-22 01:40:00,62.0,7.0,6.0,2.0,1.7,0.88,1.1,3.67,1.03
1302,2021-01-22 01:45:00,62.0,5.45,6.0,2.0,1.7,0.88,1.1,3.67,1.03
1307,2021-01-22 01:50:00,62.0,3.38,6.0,2.0,1.7,0.88,1.23,3.68,1.03
1312,2021-01-22 01:55:00,62.0,3.38,6.0,2.0,1.6,0.88,1.1,3.31958,1.0
1317,2021-01-22 02:00:00,62.0,5.45,6.0,1.95,1.6,0.88,1.0,3.37053,0.99
1322,2021-01-22 02:05:00,62.0,11.0,6.0,1.98,1.53859,0.88,1.0,3.16891,0.99
1327,2021-01-22 02:10:00,62.0,11.68,6.0,1.95,1.49,0.88,1.0,3.68,0.99
1332,2021-01-22 02:15:00,76.0,11.646,4.99,1.73,1.6,0.88,1.23,3.68,1.03
