,SETTLEMENTDATE,RRP,RAISEREGRRP,LOWERREGRRP,RAISE6SECRRP,RAISE60SECRRP,RAISE5MINRRP,LOWER6SECRRP,LOWER60SECRRP,LOWER5MINRRP
1197,2021-03-12 00:00:00,61.0,13.5,11.0,4.98,3.68,0.88,0.03,1.0,0.41
1202,2021-03-12 00:05:00,61.0,11.68,11.0,3.68,2.29,0.88,0.03,1.03,0.41
1207,2021-03-12 00:10:00,61.0,11.68,11.0,2.95,2.29,0.87,0.03,1.03,0.41
1212,2021-03-12 00:15:00,61.0,11.68,13.8,2.0,2.29,0.88,0.03,1.0,0.41
1217,2021-03-12 00:20:00,62.0,10.98,11.0,2.0,2.29,0.88,0.03,1.0,0.41
1222,2021-03-12 00:25:00,62.0,10.98,11.0,2.0,2.29,0.88,0.03,0.95,0.41
1227,2021-03-12 00:30:00,62.0,10.98,11.0,2.0,2.29,0.88,0.03,0.95,0.31
1232,2021-03-12 00:35:00,75.32,12.75,11.0,1.73,2.0,0.88,0.03,1.0,0.41
1237,2021-03-12 00:40:00,60.06,11.68,11.0,1.73,2.0,0.88,0.03,1.0,0.41
1242,2021-03-12 00:45:00,55.83,11.68,11.0,1.73,2.0,0.87,0.14,1.03,0.42
1247,2021-03-12 00:50:00,41.55522,11.68,11.0,1.73,2.0,0.88,0.03,1.0,0.41
1252,2021-03-12 00:55:00,42.40837,12.75,11.0,1.73,2.0,0.87,0.14,1.03,0.41
1257,2021-03-12 01:00:00,39.47102,13.0,11.0,1.73,2.0,0.88,0.14,1.03,0.41
1262,2021-03-12 01:05:00,42.0,11.68,11.0,1.6,1.73,0.87,0.14,1.03,0.42
1267,2021-03-12 01:10:00,39.47102,11.68,11.0,1.49,1.73,0.87,0.14,1.03,0.41
1272,2021-03-12 01:15:00,38.74534,11.08094,11.0,1.6,1.73,0.87,0.14,1.03,0.41
1277,2021-03-12 01:20:00,38.74534,11.0,11.0,1.6,1.73,0.87,0.14,1.03,0.42
1282,2021-03-12 01:25:00,38.74534,11.68,11.0,1.49,1.73,0.87,0.14,1.03,0.41
1287,2021-03-12 01:30:00,39.47102,11.0,11.0,1.6,1.73,0.87,0.14,1.03,0.41
1292,2021-03-12 01:35:00,38.74534,11.68,11.0,1.49,1.73,0.87,0.14,1.03,0.42
1297,2021-03-12 01:40:00,38.02834,11.0,11.0,1.73,1.98,0.87,0.14,1.03,0.42
1302,2021-03-12 01:45:00,37.31987,11.68,11.0,1.73,1.95,0.87,0.14,1.03,0.42
1307,2021-03-12 01:50:00,36.7947,12.75,11.0,1.73,1.98,0.87,0.14,1.03,0.41
1312,2021-03-12 01:55:00,36.61977,11.0,11.0,1.73,1.95,0.87,0.14,1.18828,0.42
1317,2021-03-12 02:00:00,35.9279,11.68,11.0,1.73,1.83565,0.87,0.14,1.81,0.42
1322,2021-03-12 02:05:00,38.02834,10.98,13.8,1.6,1.95,0.87,0.2,2.86255,0.5
1327,2021-03-12 02:10:00,39.47102,11.68,14.0,1.49,1.73,0.87,0.2,3.68,0.7
1332,2021-03-12 02:15:00,37.31987,11.68,11.23,1.49,1.73,0.87,0.14,1.8,0.41
1337,2021-03-12 02:20:00,36.01367,12.75,11.23,1.49,1.73,0.87,0.14,1.8,0.41
1342,2021-03-12 02:25:00,35.33808,11.0,14.0,1.48,1.73,0.87,0.14,2.0,0.42
1347,2021-03-12 02:30:00,35.33808,11.68,11.23,1.73,1.73,0.87,0.14,1.8,0.41
1352,2021-03-12 02:35:00,35.83264,11.68,11.82,1.6,1.95,0.87,0.21,3.68,1.0
1357,2021-03-12 02:40:00,35.14015,11.68,11.52,1.73,1.95,0.87,0.2,3.68,0.7
1362,2021-03-12 02:45:00,33.4278,11.68,11.23,1.6,1.73,0.87,0.14,1.8,0.41
