,REGIONID,DATETIME,RRPEEP1,RRPEEP2,RRPEEP3,RRPEEP4,RRPEEP5,RRPEEP6,RRPEEP7,RRPEEP8,RRPEEP9,RRPEEP10,RRPEEP11,RRPEEP12,RRPEEP13,RRPEEP14,RRPEEP15,RRPEEP16,RRPEEP17,RRPEEP18,RRPEEP19,RRPEEP20,RRPEEP25,RRPEEP26,RRPEEP27,RRPEEP28,RRPEEP29,RRPEEP30,RRPEEP31,RRPEEP32,RRPEEP33,RRPEEP34,RRPEEP35,RRPEEP36,RRPEEP37,RRPEEP38,RRPEEP39,RRPEEP40,RRPEEP41,RRPEEP42,RRPEEP43
0,NSW1,2021/01/22 01:00:00,39.15,39.15,39.15,39.0,44.65915,36.5,50.39014,39.15,39.15,39.15,39.0,39.15,37.7482,39.15,39.15,39.15,39.15,39.15,39.15,39.0,43.89,37.651,49.94,33.74929,39.15,39.15,39.15,39.15,43.89,39.0,49.94,39.15,39.15,39.15,39.15,39.15,39.0,39.15,39.15
1,QLD1,2021/01/22 01:00:00,35.9706,35.9706,35.9706,35.83278,40.73003,34.12,45.28278,35.9706,35.9706,35.9706,35.83278,35.9706,35.2,35.9706,35.9706,35.9706,35.9706,35.9706,35.9706,35.83278,40.73003,34.59334,46.56879,30.78002,36.50717,35.25,37.32871,35.1819,43.7607,33.53118,59.5,35.9706,35.9706,35.9706,35.9706,35.9706,35.83278,35.9706,35.9706
2,SA1,2021/01/22 01:00:00,50.09328,50.09328,50.09328,49.90135,56.32903,46.70255,61.43007,51.0309,48.71444,51.98365,47.62992,62.0,44.40298,297.44,53.85526,48.43031,59.6073,47.16799,62.0,44.79987,59.78007,46.14405,62.56196,40.28357,50.09328,50.09328,50.09328,50.09328,56.00007,49.90135,61.15327,50.56022,49.17043,51.0309,48.71444,51.50536,48.32472,51.50536,297.44
3,TAS1,2021/01/22 01:00:00,42.89559,42.89559,42.89559,42.73124,48.4793,40.22,53.95296,43.69848,41.71487,44.51434,40.78617,56.44532,38.70184,282.5265,43.29543,42.10534,43.69848,41.71487,43.69848,40.78617,49.44466,40.22,55.22794,36.26251,42.89559,42.89559,42.89559,42.89559,47.95365,42.73124,53.70985,43.7372,41.67572,44.47877,40.86359,48.63234,40.22,396.63,43.69848
4,VIC1,2021/01/22 01:00:00,42.09326,42.09326,42.09326,41.93198,47.57254,39.24403,52.94381,42.88114,40.93462,43.68173,40.0233,55.38955,37.31171,284.49929,42.48563,41.31779,42.88114,40.93462,42.88114,40.0233,48.51984,39.3673,54.19495,34.96,42.09326,42.09326,42.09326,42.09326,47.05672,41.93198,52.70525,42.48563,41.31779,42.88114,40.93462,43.27983,40.60714,43.27983,42.88114
0,NSW1,2021/01/22 01:30:00,39.15,39.15,39.15,39.15,46.18159,38.41074,50.39005,39.15,39.15,39.15,39.15,39.15,38.8047,39.15,39.15,39.15,39.15,39.15,39.15,39.15,43.89,39.0,49.94,35.47988,39.15,39.15,39.15,39.15,43.89,39.0,50.38985,39.15,39.15,39.15,39.15,39.15,39.15,39.15,39.15
1,QLD1,2021/01/22 01:30:00,35.40119,35.40119,35.40119,35.40119,41.45224,35.25,44.56727,35.40119,35.40119,35.40119,35.40119,35.40119,35.25,35.40119,35.40119,35.40119,35.40119,35.40119,35.40119,35.40119,40.57754,35.2,45.83054,31.84647,36.19527,35.2,36.73554,34.88237,43.38383,33.00309,58.8,35.40119,35.40119,35.40119,35.40119,35.40119,35.40119,35.40119,35.40119
2,SA1,2021/01/22 01:30:00,60.44,60.44,60.44,60.44,61.0,60.44,62.0,60.44,60.44,61.0,60.44,74.53586,60.44,427.08869,61.0,58.90711,62.0,51.71216,76.0,48.54733,62.0,57.60417,65.52171,46.00185,60.44,60.44,60.44,60.44,61.0,60.44,62.0,60.44,60.44,60.44,60.44,60.44,60.44,60.44,578.81
3,TAS1,2021/01/22 01:30:00,44.09115,44.09115,44.09115,44.09115,51.05543,43.25859,54.53458,44.91365,43.28175,50.60651,42.48514,65.89632,40.22,396.74,44.09115,44.09115,44.09115,43.28175,44.09115,42.48514,49.88857,43.11592,56.19131,39.18812,44.09115,44.09115,44.09115,44.09115,48.97388,43.92222,54.53458,44.95365,43.24023,45.82787,42.40074,60.4,41.57257,396.63,44.50074
4,VIC1,2021/01/22 01:30:00,43.15637,43.15637,43.15637,43.15637,49.973,42.34146,53.37839,43.96143,42.36413,49.5336,41.58441,64.82916,38.97067,403.73767,43.15637,43.15637,43.15637,42.36413,43.15637,41.58441,48.83088,42.20182,55.0,37.68608,43.15637,43.15637,43.15637,43.15637,47.93558,42.99102,53.37839,43.55728,42.75867,43.96143,42.36413,44.36887,41.97272,44.36887,43.55728
0,NSW1,2021/01/22 02:00:00,39.0,37.23327,39.15,36.5,39.15,32.70296,49.94,39.0,37.93476,39.15,36.45,39.15,34.55299,39.15,38.37539,38.37539,38.37539,38.37539,38.37539,37.82039,39.15,33.87282,43.89,28.38379,39.0,37.47402,39.15,36.5,39.15,35.12573,43.89,38.7151,38.25799,39.0,38.25799,39.14973,36.65133,39.15,38.4299
1,QLD1,2021/01/22 02:00:00,35.25,34.40603,35.38356,33.97912,35.38356,30.72,44.47406,35.25,35.05425,35.38356,33.93257,35.38356,32.16658,35.38356,35.2,35.2,35.2,35.2,35.2,34.94857,36.17721,31.07,41.16264,26.62,36.0386,34.12,36.99051,32.74582,39.26109,30.15,58.8,35.25,35.2,35.25,35.2,35.38332,34.12,35.38356,35.25
2,SA1,2021/01/22 02:00:00,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,390.02,62.0,61.0,62.0,60.44,379.95,44.88264,62.0,61.0,65.45,60.44,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,10001.35
3,TAS1,2021/01/22 02:00:00,41.21045,40.22,41.36895,40.09824,41.36895,36.26251,51.79321,41.9857,40.22,42.9378,38.57602,54.77448,35.22,359.1726,40.55043,40.55043,40.55043,40.55043,40.55043,40.2,42.14718,36.52496,48.13639,35.22,41.21045,40.22,41.36895,40.09824,41.36895,38.58849,46.16998,41.71509,40.22,42.84469,40.2,47.08615,37.97615,396.63,40.60804
4,VIC1,2021/01/22 02:00:00,40.54306,39.06908,40.69899,38.65795,40.69899,34.96,50.95444,41.30576,39.06908,42.24243,37.19041,53.88742,33.95493,362.62982,39.89373,39.89373,39.89373,39.89373,39.89373,38.95129,41.46462,35.21302,47.35684,29.78327,40.54306,39.26738,40.69899,38.65795,40.69899,37.20243,45.42228,40.62396,39.6701,41.30576,39.65038,41.8517,37.74728,41.85199,39.9504
0,NSW1,2021/01/22 02:30:00,38.96018,36.45,39.0,33.69204,39.15,31.10886,43.89,38.989,36.45,39.0,34.27299,39.15,31.61056,39.0,37.24301,37.24301,37.24301,37.24301,37.24301,37.23823,39.15,32.90541,39.15,27.09739,38.13375,36.45,39.0,35.48,39.15,32.40913,39.15,37.24301,37.23823,38.989,36.37,39.0,35.48,39.0,37.43205
1,QLD1,2021/01/22 02:30:00,35.2,33.39777,35.20993,31.1,35.25,29.57976,39.04408,35.2,33.39777,35.20993,31.40306,35.25,30.0568,35.20993,34.12,34.12,34.12,34.12,34.12,34.12,35.60745,30.15,36.13806,25.76546,35.2,32.90774,35.9996,31.33074,38.34986,27.99353,53.62361,34.12,34.12,35.2,33.32447,35.20993,32.509,35.20993,34.29759
2,SA1,2021/01/22 02:30:00,69.45,69.45,69.45,69.45,69.45,69.45,69.45,69.45,69.45,69.45,69.45,76.7133,69.45,441.36067,76.0,62.0,118.0,61.45,390.02,52.35306,76.0,62.0,118.0,61.45,69.45,69.45,69.45,69.45,69.45,69.45,70.07355,69.45,69.45,69.45,69.45,69.45,69.45,70.13,13100.02
3,TAS1,2021/01/22 02:30:00,41.15759,39.93253,41.19966,36.91106,41.35812,35.22,46.36546,41.9629,39.19516,42.76215,36.17163,65.70285,35.22,396.74,40.22,40.22,40.22,40.22,40.22,40.21484,42.13618,36.04928,42.92662,35.22,40.28455,39.93253,41.19966,38.86985,41.35812,36.17163,41.35812,40.22,40.01174,42.82143,38.32306,46.90707,36.65787,141.42611,40.22
4,VIC1,2021/01/22 02:30:00,40.49106,38.59492,40.53244,35.67466,40.68834,33.87005,45.61459,41.28333,37.88225,42.06963,34.96,64.97113,31.34904,405.88509,39.06908,39.06908,39.06908,39.06908,39.06908,39.06406,41.4538,34.84175,42.23143,28.96,39.63216,38.59492,40.53244,37.56784,40.68834,34.96,40.68834,39.06908,39.06406,41.28333,37.7991,41.68077,36.53133,42.06963,39.26738
0,NSW1,2021/01/22 03:00:00,38.06179,35.48,39.0,33.92224,39.15,31.95684,43.89,37.52865,35.48,39.0,34.67458,39.15,32.19469,39.0,37.21495,37.21495,37.21495,37.21495,37.21495,35.48,39.0,32.91778,39.15,28.0987,37.96495,35.48,38.06179,35.48,39.15,32.78547,39.15,37.23347,36.37,37.52865,35.48,39.0,35.48,39.0,37.25223
1,QLD1,2021/01/22 03:00:00,34.60471,32.49678,35.2,31.07,35.25,30.15,39.02944,34.12,32.49678,35.2,31.75908,35.25,30.15,35.2,34.08586,34.08586,34.08586,34.08586,34.08586,32.49678,35.25,30.15,36.12447,26.51,35.031,31.78445,35.25,31.319,38.33534,28.30801,53.25006,34.10281,33.31195,34.12,32.49678,35.2,32.49678,35.2,34.12
2,SA1,2021/01/22 03:00:00,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,76.0,62.0,390.02,76.0,62.0,118.0,61.0,379.95,44.90873,76.0,62.0,118.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,10000.0
3,TAS1,2021/01/22 03:00:00,40.22,38.32589,40.61985,36.64318,40.77608,35.49705,45.71296,40.22,37.61688,42.55667,36.08076,65.4,35.22,356.03555,40.2,40.2,40.2,40.2,40.2,37.97,41.77278,35.55815,42.72035,35.22,40.22,38.32589,40.22,38.32589,40.77608,36.08076,40.77608,40.22,38.53032,41.02133,36.95365,45.19043,36.23399,138.35,40.2
4,VIC1,2021/01/22 03:00:00,39.46772,37.13539,40.06449,35.50495,40.21858,34.39443,45.08796,39.64725,36.44841,41.97482,34.96,64.65377,31.55669,360.40847,38.95129,38.95129,38.95129,38.95129,38.95129,36.79056,41.20166,34.45363,42.13626,29.4097,39.3673,37.13539,39.46772,37.13539,40.21858,34.96,40.21858,38.97067,37.71343,39.64725,36.44841,41.58671,36.10892,41.58671,38.99031
0,NSW1,2021/01/22 03:30:00,37.78427,35.48,38.96018,33.42837,39.15,31.95856,43.89,37.25423,35.48,38.96018,34.37876,39.15,32.19642,39.0,35.48,35.48,35.48,35.48,35.48,35.48,39.0,32.63089,39.15,27.95081,37.78427,35.48,37.89901,34.0257,39.15,32.5,39.15,37.05811,35.48,37.07655,35.48,37.25423,34.51489,38.96018,36.37
1,QLD1,2021/01/22 03:30:00,34.35056,32.64406,35.2,30.84335,35.25,30.15,39.02735,34.12,32.64406,35.2,31.63085,35.25,30.15,35.2,32.64406,32.64406,32.64406,32.64406,32.64406,32.64406,35.45581,30.15,36.39097,26.51,35.12148,32.01827,35.25,30.48,38.33327,28.06002,53.25006,34.07,32.64406,34.07,32.64406,34.12,31.75609,35.2,33.46292
2,SA1,2021/01/22 03:30:00,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,71.439,62.0,379.98,76.0,62.0,118.0,61.0,379.95,43.61542,76.0,62.0,118.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,13100.02
3,TAS1,2021/01/22 03:30:00,40.2,37.84397,40.22,35.98988,40.26027,35.22,45.1347,40.22,37.14272,41.97856,35.98988,59.56738,35.22,342.28834,37.84397,37.84397,37.84397,37.84397,37.84397,37.49198,41.24627,35.22,42.18309,35.22,40.2,37.84397,40.22,36.29277,40.26027,35.648,40.26027,40.2,37.11329,40.22,36.39241,42.72547,35.22,138.35,38.79327
4,VIC1,2021/01/22 03:30:00,39.1485,36.76104,39.6701,34.96,39.8119,34.05101,44.63204,39.32584,36.07985,41.51105,34.96,58.90399,31.27106,347.40658,36.76104,36.76104,36.76104,36.76104,36.76104,36.41912,40.78692,34.12598,41.7133,28.96,39.1485,36.76104,39.26738,35.25423,39.8119,34.6279,39.8119,38.75606,36.41912,38.77534,36.07985,39.32584,35.09843,41.51105,37.68317
0,NSW1,2021/01/22 04:00:00,38.48739,36.37,39.0,35.48,39.15,31.99544,47.27759,38.4328,35.48,39.0,35.48,39.15,32.5,39.0,37.74453,37.74453,37.74453,37.74453,37.74453,36.45,39.15,33.29412,39.15,28.09974,37.9219,36.45,39.0,35.48,39.15,33.47767,39.15,37.76331,36.70625,38.4328,35.48,38.77298,35.48,39.0,37.84605
1,QLD1,2021/01/22 04:00:00,35.25,33.80744,35.25,32.98015,35.33078,30.1853,42.35166,35.2,32.98015,35.25,32.98015,35.33078,30.48,35.25,34.82633,34.82633,34.82633,34.82633,34.82633,33.88181,36.12313,30.72,36.66221,26.51,35.25,33.38399,36.52175,31.78328,38.91006,29.33344,58.8,34.84365,34.12,35.2,32.98015,35.25,32.98015,35.25,34.92
2,SA1,2021/01/22 04:00:00,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,69.44134,62.0,379.98,76.0,61.0,118.0,60.44,379.95,43.03692,76.0,61.0,118.0,60.44,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,10000.0
3,TAS1,2021/01/22 04:00:00,40.22,39.19798,40.52725,38.23878,40.68312,35.22,48.67122,40.69087,37.18142,42.06762,36.49006,60.4,35.22,344.92514,40.2,40.2,40.2,40.2,40.2,38.5572,41.45021,35.88293,42.22942,35.22,40.22,39.2842,40.52725,38.23878,40.68312,36.08076,40.68312,40.22,38.43707,41.5255,36.52586,44.44023,35.81386,138.35,40.20634
4,VIC1,2021/01/22 04:00:00,39.44775,37.9804,39.97315,37.05099,40.1269,34.04024,48.00577,40.13453,36.02647,41.49246,35.35659,59.5742,31.48404,349.1616,39.04965,39.04965,39.04965,39.04965,39.04965,37.35952,40.88349,34.76832,41.65205,29.07137,39.23315,38.06394,39.97315,37.05099,40.1269,34.96,40.1269,39.06908,37.62216,40.13453,36.02647,40.86885,35.69024,41.49246,39.15468
0,NSW1,2021/01/22 04:30:00,38.18157,35.48,39.12,34.74676,39.15,32.5,49.47976,38.18157,35.48,39.12,35.48,39.15,32.5,39.15,37.84616,35.48,38.18157,35.48,38.18157,35.48,39.15,33.30617,43.89,27.87577,37.62012,35.48,39.12,34.85901,39.15,33.26949,39.15,37.84616,35.48,38.12742,35.48,38.46511,35.48,38.75055,38.31233
1,QLD1,2021/01/22 04:30:00,35.25,33.24471,35.58607,32.8,35.61336,30.90767,44.35,35.25,33.24471,35.58607,33.24471,35.61336,30.90767,35.61336,35.2,33.24471,35.25,33.24471,35.25,33.24471,36.41268,30.97745,41.12487,26.51,35.25,32.75585,36.92822,31.71,39.22476,29.3836,58.00006,35.2,33.24471,35.2,33.24471,35.25,33.24471,35.25,35.25
2,SA1,2021/01/22 04:30:00,42.86148,39.82877,43.91492,39.05269,43.9486,37.87474,54.74071,43.67234,39.08682,45.58954,39.05269,60.44,34.80374,140.31185,46.86223,38.84629,55.0,37.88334,61.0,36.6685,49.3923,37.15724,60.44,30.32899,42.23121,39.82877,43.91492,39.13166,43.9486,38.41128,43.9486,42.88526,39.45637,43.61039,39.10601,44.40988,39.10601,44.73944,578.81
3,TAS1,2021/01/22 04:30:00,39.20073,36.42704,40.1642,35.71724,40.195,35.22,50.06941,39.94234,35.74846,41.48361,35.71724,55.58652,35.22,138.27,39.22248,36.08645,39.94234,35.74846,39.94234,35.71724,41.12971,35.22,47.41687,35.22,38.62429,36.42704,40.1642,35.78947,40.195,35.22,40.195,39.62167,35.71918,40.49459,35.22,44.78699,35.22,138.6625,40.07912
4,VIC1,2021/01/22 04:30:00,38.36963,35.65475,39.31268,34.96,39.34283,33.90551,49.25855,39.09552,34.99056,40.8118,34.96,54.68632,31.15634,138.1506,38.39092,35.32138,39.09552,34.99056,39.09552,34.96,40.46363,33.78559,46.64897,28.01307,37.80541,35.65475,39.31268,35.0307,39.34283,34.38581,39.34283,38.39092,35.32138,39.04006,35.00774,39.75577,35.00774,40.05078,39.22941
0,NSW1,2021/01/22 05:00:00,39.15,39.12,39.15,37.79497,42.25941,34.45479,50.39,39.15,39.12,39.15,37.86152,39.15,35.48,39.15,39.15,39.12,39.15,39.12,39.15,37.58198,39.15,35.48,49.94,32.5,39.15,39.12,39.15,39.01552,39.15,35.48,49.33941,39.15,39.12,39.15,39.12,39.15,39.12,39.15,39.15
1,QLD1,2021/01/22 05:00:00,36.44961,36.42168,36.44961,35.25,39.34455,32.8,45.88438,36.44961,36.42168,36.44961,35.25,36.44961,33.77597,36.44961,36.44961,36.42168,36.44961,36.42168,36.44961,35.25,36.99408,33.24319,47.1899,30.2583,36.99408,35.62209,37.82786,35.25,40.15696,31.09,70.95,36.44961,36.42168,36.44961,36.42168,36.44961,36.42168,36.44961,36.44961
2,SA1,2021/01/22 05:00:00,51.71275,51.67312,51.71275,51.0,54.78,51.0,61.0,52.68521,51.0,54.17304,51.0,76.18565,51.0,379.98,61.0,47.96888,76.0,46.80657,124.02,42.79916,61.0,43.10062,76.0,39.61928,51.71275,51.67312,51.71275,51.53511,51.71275,51.0,61.0,52.19707,51.19295,52.68521,51.19295,53.67315,51.0,53.93,612.87
3,TAS1,2021/01/22 05:00:00,41.14883,41.1173,41.14883,40.2,44.41699,36.74148,52.06347,41.92263,40.35611,43.10654,38.89323,66.35374,35.22,357.13529,41.14883,40.73522,41.14883,40.35611,41.14883,38.24563,42.31414,36.78975,54.98698,35.22,41.14883,41.1173,41.14883,41.00748,41.14883,37.83472,51.37658,41.96237,40.31529,42.67893,40.10533,43.91951,39.42007,138.27,41.14883
4,VIC1,2021/01/22 05:00:00,40.79543,40.76417,40.79543,39.7523,44.03553,36.23914,51.61633,41.56259,40.00952,42.73632,38.36148,66.1247,34.62135,363.43442,40.79543,40.38537,40.79543,40.00952,40.79543,37.72273,41.95073,36.28675,54.51474,33.86594,40.79543,40.76417,40.79543,40.6553,40.79543,37.31744,50.93534,41.1775,40.38537,41.56259,40.38537,42.34196,40.00952,42.73632,40.79543
0,NSW1,2021/01/22 05:30:00,43.65963,39.12,43.89,36.95381,50.05363,35.55,53.67712,39.12,39.12,39.12,37.22919,37.50639,35.55,37.50639,39.12,39.12,39.12,39.12,39.12,36.95381,49.94,35.55,50.39,33.48769,42.69871,39.12,43.89,38.63376,49.94,35.55,50.39005,39.12,39.12,39.12,39.12,39.12,38.51703,39.12,39.12
1,QLD1,2021/01/22 05:30:00,40.73003,36.76653,40.94494,35.25,46.00866,34.16385,49.33933,36.76653,36.76653,36.76653,35.25,35.25,34.16385,35.25,36.76653,36.76653,36.76653,36.76653,36.76653,35.25,46.9356,33.4113,48.07985,31.47306,40.73003,35.99311,42.49354,35.25,50.32523,31.53995,100.0,36.76653,36.76653,36.76653,36.76653,36.76653,36.19984,36.76653,36.76653
2,SA1,2021/01/22 05:30:00,55.60312,49.82163,55.86917,47.06285,61.0,46.36645,62.0,61.0,48.90483,65.84535,45.68228,143.73692,41.237,428.1363,60.44,48.61459,61.0,47.43151,76.0,42.6361,62.0,43.36407,64.78569,39.85332,54.37933,49.82163,55.86917,49.20238,61.0,46.36645,61.0,60.44,49.36141,61.0,48.90483,61.18258,47.70504,62.0,349.0
3,TAS1,2021/01/22 05:30:00,48.20824,43.19566,48.46262,40.80378,54.25137,40.2,56.04834,54.25137,42.40079,60.4,39.80888,136.07,35.93514,396.87,52.40185,42.79665,52.88738,42.40079,65.35396,39.51441,55.14293,38.36924,57.32429,35.80812,47.14722,43.19566,48.46262,42.65876,54.1282,40.2,54.616,53.74975,42.35997,55.64296,41.53551,60.4,40.2,396.63,68.29866
4,VIC1,2021/01/22 05:30:00,47.30655,42.38772,47.55616,40.04058,53.23664,39.44809,55.0,53.23664,41.60771,59.27027,38.866,134.20962,35.08401,419.41287,51.42172,41.99617,51.89816,41.60771,64.46042,38.57851,54.11152,37.46046,56.25208,34.96,46.26536,42.38772,47.55616,41.86086,53.11578,39.44809,53.59445,52.21166,41.99617,53.51022,41.60771,54.22525,40.58695,55.23399,67.36487
0,NSW1,2021/01/22 06:00:00,43.54984,39.12,43.89,37.87098,49.94,35.55,53.83731,43.2816,39.12,39.15,39.12,39.12,35.55,39.12,39.15,39.15,39.15,39.15,39.15,39.15,49.9,37.12864,50.39005,35.47002,42.64383,39.12,43.89,38.87058,49.94,35.5501,50.39005,39.15,39.15,43.2816,39.15,39.15,39.15,39.12,39.15
1,QLD1,2021/01/22 06:00:00,40.73003,36.81377,40.99751,35.63838,45.96305,34.37,49.55,40.73003,36.81377,36.842,36.81377,36.81377,34.37,36.81377,36.842,36.842,36.842,36.842,36.842,36.842,46.95826,35.2,48.48764,33.13244,40.73003,36.27219,42.54832,35.25,50.63088,31.76622,279.85,36.842,36.842,40.73003,36.842,36.842,36.842,36.81377,36.842
2,SA1,2021/01/22 06:00:00,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.45775,76.0,349.0,76.0,529.26434,118.0,66.45,349.0,61.99,390.02,59.68,118.0,66.45,349.0,61.99,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,78.04327,76.0,118.0,13100.02
3,TAS1,2021/01/22 06:00:00,46.05345,41.36895,46.41317,40.26,52.81097,40.26,54.04673,60.76119,40.32,65.45619,40.26,294.62155,35.38404,397.01,41.40067,41.40067,41.40067,41.40067,41.40067,41.40067,55.1745,40.19789,55.16029,37.69479,45.09535,41.36895,46.41317,41.10518,52.81097,40.26,53.28689,42.22869,40.32,62.05048,40.26,66.93066,40.2,106.6265,41.40067
4,VIC1,2021/01/22 06:00:00,46.86574,42.09861,47.2318,40.75448,53.74245,40.43528,55.0,61.9969,40.93998,66.78738,40.55981,307.97519,35.17079,489.41492,42.13089,42.13089,42.13089,42.13089,42.13089,42.13089,56.14766,39.95563,56.1332,37.46761,45.89074,42.09861,47.2318,41.83019,53.74245,40.43528,54.22676,42.52356,41.46997,61.9969,41.40826,66.35584,41.35484,102.53961,42.13089
0,NSW1,2021/01/22 06:30:00,35.582,35.55,38.55801,35.48,39.15,35.47,49.94,35.64949,35.55,38.75451,35.48,35.55,35.47004,35.55,35.55,35.55,35.55,35.55,35.55,35.48,39.12,35.47005,46.14,33.33914,35.5501,35.55,37.3462,35.48,39.15,35.47004,48.12356,35.5501,35.55,35.64949,35.55,36.08662,35.55,38.75451,35.582
