,REGIONID,DATETIME,RRPEEP1,RRPEEP2,RRPEEP3,RRPEEP4,RRPEEP5,RRPEEP6,RRPEEP7,RRPEEP8,RRPEEP9,RRPEEP10,RRPEEP11,RRPEEP12,RRPEEP13,RRPEEP14,RRPEEP15,RRPEEP16,RRPEEP17,RRPEEP18,RRPEEP19,RRPEEP20,RRPEEP25,RRPEEP26,RRPEEP27,RRPEEP28,RRPEEP29,RRPEEP30,RRPEEP31,RRPEEP32,RRPEEP33,RRPEEP34,RRPEEP35,RRPEEP36,RRPEEP37,RRPEEP38,RRPEEP39,RRPEEP40,RRPEEP41,RRPEEP42,RRPEEP43
0,NSW1,2021/01/22 00:00:00,39.15,39.15,39.15,39.14986,48.68888,38.16236,50.35917,39.15,39.15,39.15,39.14986,39.15,38.16236,39.15,39.15,39.15,39.15,39.15,39.15,39.14986,43.89,39.0,48.8,35.47045,39.15,39.15,39.15,39.15,44.20658,39.0,48.8002,39.15,39.15,39.15,39.15,39.15,39.15,39.15,39.15
1,QLD1,2021/01/22 00:00:00,36.02071,36.02071,36.02071,36.02059,44.25004,35.2,45.43119,36.02071,36.02071,36.02071,36.02059,36.02071,35.2,36.02071,36.02071,36.02071,36.02071,36.02071,36.02071,36.02059,41.08715,35.23598,45.72344,31.76406,36.64985,35.31891,37.35515,35.05912,44.25005,33.1697,59.5,36.02071,36.02071,36.02071,36.02071,36.02071,36.02071,36.02071,36.02071
2,SA1,2021/01/22 00:00:00,48.16856,48.16856,48.16856,48.1684,58.80376,46.95341,60.44,56.56,47.28407,60.44,46.41339,64.5937,42.77549,376.30281,49.37409,46.98699,59.78,45.82892,60.44,43.17737,60.44,45.94637,61.0,40.00474,48.16856,48.16856,48.16856,48.16856,54.38997,47.98401,58.93821,48.61615,47.72455,49.06735,47.28407,49.06735,46.84709,49.06735,75.18062
3,TAS1,2021/01/22 00:00:00,44.56433,44.56433,44.56433,44.56418,54.91153,43.4401,56.79529,52.59963,43.74602,57.99686,42.94049,66.99954,40.22,396.74,44.97842,44.15354,54.17905,43.74602,54.77722,42.54255,56.20795,43.17567,57.62983,40.22,44.56433,44.56433,44.56433,44.56433,50.32022,44.39359,55.03708,47.15044,43.70981,136.74,42.86676,138.35,42.14392,396.74,66.99954
4,VIC1,2021/01/22 00:00:00,43.07157,43.07157,43.07157,43.07142,53.07217,41.985,54.89283,50.83771,42.28067,56.05415,41.50212,64.91837,38.24917,400.55882,43.47179,42.67454,52.36423,42.28067,52.94236,41.11751,54.32517,41.72943,55.69942,36.90743,43.07157,43.07157,43.07157,43.07157,48.63466,42.90654,53.19352,43.47179,42.67454,43.87525,42.28067,43.87525,41.88993,43.87525,64.91837
0,NSW1,2021/01/22 00:30:00,39.15,39.0,39.15,39.0,43.89,36.51029,53.80029,39.15,39.0,39.15,39.0,39.15,36.84675,39.15,39.15,39.15,39.15,39.0,39.15,39.0,39.70054,37.56847,49.94,35.47017,39.15,39.0,39.15,39.0,40.80242,37.13024,49.94,39.15,39.15,39.15,39.0,39.15,39.0,39.15,39.15
1,QLD1,2021/01/22 00:30:00,36.68182,36.54128,36.68182,36.54128,41.00551,35.07,49.5,36.68182,36.54128,36.68182,36.54128,36.68182,35.2,36.68182,36.68182,36.68182,36.68182,36.54128,36.68182,36.54128,37.92625,35.2,47.70809,32.89446,37.40031,35.90124,38.24436,35.37425,42.00003,32.69876,100.0,36.68182,36.68182,36.68182,36.54128,36.68182,36.54128,36.68182,36.68182
2,SA1,2021/01/22 00:30:00,46.66774,46.48894,46.66774,46.48894,52.31793,43.92797,60.44,47.54368,45.63,48.43363,44.78438,61.0,40.36761,132.55249,47.62695,45.33429,49.26916,44.03572,51.80784,41.70436,49.66002,43.09888,60.44,38.9411,46.66774,46.48894,46.66774,46.48894,48.63747,44.26014,58.96357,47.10398,46.23493,47.54368,45.63,47.98688,45.40969,47.98688,62.0
3,TAS1,2021/01/22 00:30:00,42.30048,42.1384,42.30048,42.1384,47.42191,40.22,56.33428,43.09444,41.35984,43.90111,40.59336,58.8209,38.95996,138.35,42.69589,41.90817,43.49617,41.35984,44.30931,40.22,44.51846,40.22,55.59702,38.95457,42.30048,42.1384,42.30048,42.1384,44.08587,40.22,53.95877,43.12932,41.48273,45.6894,40.5201,136.74,40.22,396.7,45.13562
4,VIC1,2021/01/22 00:30:00,41.29858,41.14035,41.29858,41.14035,46.29872,38.87402,55.0,42.07374,40.38023,42.86131,39.6319,57.42772,35.72329,136.80922,41.68463,40.91557,42.46596,40.38023,43.25984,39.26207,43.46404,38.89804,54.2802,35.70852,41.29858,41.14035,41.29858,41.14035,43.04169,39.16798,52.68075,41.68463,40.91557,42.07374,40.38023,42.46596,40.18527,42.46596,44.06658
