,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90
1,NSW1,2021-03-12 00:00:00,7499.0,7383,7267.0
387,QLD1,2021-03-12 00:00:00,6270.0,6172,6074.0
773,SA1,2021-03-12 00:00:00,1515.0,1447,1380.0
1159,TAS1,2021-03-12 00:00:00,992.0,974,958.0
1545,VIC1,2021-03-12 00:00:00,4901.0,4787,4672.0
0,NSW1,2021-03-12 00:30:00,7316.0,7215,7115.0
432,QLD1,2021-03-12 00:30:00,6068.0,5980,5893.0
864,SA1,2021-03-12 00:30:00,1482.0,1422,1363.0
1296,TAS1,2021-03-12 00:30:00,965.0,950,936.0
1728,VIC1,2021-03-12 00:30:00,4740.0,4621,4501.0
0,NSW1,2021-03-12 01:00:00,7129.0,7030,6932.0
431,QLD1,2021-03-12 01:00:00,5952.0,5867,5781.0
862,SA1,2021-03-12 01:00:00,1443.0,1385,1327.0
1293,TAS1,2021-03-12 01:00:00,988.0,974,960.0
1724,VIC1,2021-03-12 01:00:00,4584.0,4469,4353.0
0,NSW1,2021-03-12 01:30:00,6858.0,6764,6670.0
430,QLD1,2021-03-12 01:30:00,5839.0,5755,5670.0
860,SA1,2021-03-12 01:30:00,1357.0,1303,1249.0
1290,TAS1,2021-03-12 01:30:00,985.0,972,957.0
1720,VIC1,2021-03-12 01:30:00,4493.0,4379,4266.0
0,NSW1,2021-03-12 02:00:00,6586.0,6495,6405.0
429,QLD1,2021-03-12 02:00:00,5790.0,5707,5623.0
858,SA1,2021-03-12 02:00:00,1304.0,1252,1200.0
1287,TAS1,2021-03-12 02:00:00,962.0,947,934.0
1716,VIC1,2021-03-12 02:00:00,4397.0,4287,4176.0
0,NSW1,2021-03-12 02:30:00,6448.0,6359,6271.0
428,QLD1,2021-03-12 02:30:00,5780.0,5697,5614.0
856,SA1,2021-03-12 02:30:00,1259.0,1209,1158.0
1284,TAS1,2021-03-12 02:30:00,953.0,939,926.0
1712,VIC1,2021-03-12 02:30:00,4270.0,4162,4055.0
0,NSW1,2021-03-12 03:00:00,6388.0,6300,6212.0
427,QLD1,2021-03-12 03:00:00,5725.0,5642,5559.0
854,SA1,2021-03-12 03:00:00,1248.0,1198,1148.0
1281,TAS1,2021-03-12 03:00:00,949.0,936,922.0
1708,VIC1,2021-03-12 03:00:00,4250.0,4143,4036.0
0,NSW1,2021-03-12 03:30:00,6411.0,6322,6234.0
426,QLD1,2021-03-12 03:30:00,5750.0,5667,5584.0
852,SA1,2021-03-12 03:30:00,1225.0,1176,1127.0
1278,TAS1,2021-03-12 03:30:00,945.0,932,917.0
1704,VIC1,2021-03-12 03:30:00,4224.0,4117,4011.0
0,NSW1,2021-03-12 04:00:00,6493.0,6404,6314.0
425,QLD1,2021-03-12 04:00:00,5763.0,5679,5597.0
850,SA1,2021-03-12 04:00:00,1208.0,1159,1111.0
1275,TAS1,2021-03-12 04:00:00,956.0,941,928.0
1700,VIC1,2021-03-12 04:00:00,4235.0,4128,4021.0
0,NSW1,2021-03-12 04:30:00,6695.0,6602,6510.0
424,QLD1,2021-03-12 04:30:00,5791.0,5707,5624.0
848,SA1,2021-03-12 04:30:00,1209.0,1161,1112.0
1272,TAS1,2021-03-12 04:30:00,965.0,952,937.0
1696,VIC1,2021-03-12 04:30:00,4365.0,4255,4145.0
0,NSW1,2021-03-12 05:00:00,6967.0,6871,6775.0
423,QLD1,2021-03-12 05:00:00,5865.0,5779,5695.0
846,SA1,2021-03-12 05:00:00,1231.0,1182,1133.0
1269,TAS1,2021-03-12 05:00:00,985.0,970,954.0
1692,VIC1,2021-03-12 05:00:00,4548.0,4434,4319.0
0,NSW1,2021-03-12 05:30:00,7385.0,7283,7182.0
422,QLD1,2021-03-12 05:30:00,6005.0,5918,5832.0
844,SA1,2021-03-12 05:30:00,1262.0,1212,1161.0
1266,TAS1,2021-03-12 05:30:00,1035.0,1019,1002.0
1688,VIC1,2021-03-12 05:30:00,4821.0,4699,4578.0
0,NSW1,2021-03-12 06:00:00,7767.0,7660,7553.0
421,QLD1,2021-03-12 06:00:00,6160.0,6072,5982.0
842,SA1,2021-03-12 06:00:00,1333.0,1279,1226.0
1263,TAS1,2021-03-12 06:00:00,1083.0,1065,1046.0
1684,VIC1,2021-03-12 06:00:00,5120.0,5002,4884.0
0,NSW1,2021-03-12 06:30:00,8118.0,8006,7894.0
420,QLD1,2021-03-12 06:30:00,6423.0,6329,6236.0
840,SA1,2021-03-12 06:30:00,1424.0,1367,1310.0
1260,TAS1,2021-03-12 06:30:00,1153.0,1132,1110.0
1680,VIC1,2021-03-12 06:30:00,5515.0,5388,5260.0
0,NSW1,2021-03-12 07:00:00,8397.0,8282,8166.0
