,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90
1,NSW1,2021-06-14 00:00:00,8577,8412,8246
387,QLD1,2021-06-14 00:00:00,5978,5869,5759
773,SA1,2021-06-14 00:00:00,1700,1615,1529
1159,TAS1,2021-06-14 00:00:00,1121,1103,1084
1545,VIC1,2021-06-14 00:00:00,5257,5113,4969
0,NSW1,2021-06-14 00:30:00,8301,8164,8027
432,QLD1,2021-06-14 00:30:00,5708,5610,5512
864,SA1,2021-06-14 00:30:00,1628,1553,1479
1296,TAS1,2021-06-14 00:30:00,1108,1091,1075
1728,VIC1,2021-06-14 00:30:00,5084,4966,4848
0,NSW1,2021-06-14 01:00:00,8109,7975,7842
431,QLD1,2021-06-14 01:00:00,5577,5482,5387
862,SA1,2021-06-14 01:00:00,1592,1519,1446
1293,TAS1,2021-06-14 01:00:00,1095,1078,1063
1724,VIC1,2021-06-14 01:00:00,4803,4691,4579
0,NSW1,2021-06-14 01:30:00,7901,7771,7640
430,QLD1,2021-06-14 01:30:00,5509,5416,5321
860,SA1,2021-06-14 01:30:00,1483,1415,1346
1290,TAS1,2021-06-14 01:30:00,1089,1073,1057
1720,VIC1,2021-06-14 01:30:00,4657,4549,4440
0,NSW1,2021-06-14 02:00:00,7660,7533,7407
429,QLD1,2021-06-14 02:00:00,5432,5339,5247
858,SA1,2021-06-14 02:00:00,1383,1319,1256
1287,TAS1,2021-06-14 02:00:00,1086,1071,1056
1716,VIC1,2021-06-14 02:00:00,4445,4342,4238
0,NSW1,2021-06-14 02:30:00,7381,7260,7138
428,QLD1,2021-06-14 02:30:00,5415,5323,5230
856,SA1,2021-06-14 02:30:00,1327,1266,1205
1284,TAS1,2021-06-14 02:30:00,1076,1061,1046
1712,VIC1,2021-06-14 02:30:00,4283,4184,4084
0,NSW1,2021-06-14 03:00:00,7129,7012,6894
427,QLD1,2021-06-14 03:00:00,5395,5303,5211
854,SA1,2021-06-14 03:00:00,1319,1258,1198
1281,TAS1,2021-06-14 03:00:00,1083,1067,1052
1708,VIC1,2021-06-14 03:00:00,4163,4067,3970
0,NSW1,2021-06-14 03:30:00,7011,6896,6780
426,QLD1,2021-06-14 03:30:00,5386,5294,5201
852,SA1,2021-06-14 03:30:00,1259,1201,1143
1278,TAS1,2021-06-14 03:30:00,1091,1075,1059
1704,VIC1,2021-06-14 03:30:00,4110,4015,3919
0,NSW1,2021-06-14 04:00:00,6914,6800,6686
