,REGIONID,DATETIME,RRPEEP1,RRPEEP2,RRPEEP3,RRPEEP4,RRPEEP5,RRPEEP6,RRPEEP7,RRPEEP8,RRPEEP9,RRPEEP10,RRPEEP11,RRPEEP12,RRPEEP13,RRPEEP14,RRPEEP15,RRPEEP16,RRPEEP17,RRPEEP18,RRPEEP19,RRPEEP20,RRPEEP25,RRPEEP26,RRPEEP27,RRPEEP28,RRPEEP29,RRPEEP30,RRPEEP31,RRPEEP32,RRPEEP33,RRPEEP34,RRPEEP35,RRPEEP36,RRPEEP37,RRPEEP38,RRPEEP39,RRPEEP40,RRPEEP41,RRPEEP42,RRPEEP43
4,VIC1,2021/06/14 01:00:00,174.32,103.98012,174.32,93.21939,247.73969,85.75488,247.73969,169.76172,108.9345,174.32,94.2668,229.94585,83.89,299.5,166.88098,127.76016,169.76172,125.5834,174.32,100.94063,210.57191,88.59897,262.63485,67.48,172.16926,103.98012,174.32,93.21939,232.04493,85.75488,247.73969,128.71966,128.71966,128.71966,128.71966,128.71966,128.71966,169.76172,227.75734
0,NSW1,2021/06/14 01:30:00,147.3175,104.06034,176.39298,98.84952,241.94273,77.82421,299.6,147.3175,108.40685,152.59936,98.86215,198.34666,85.71369,299.6,112.10957,112.10952,146.50442,112.10946,147.3175,109.13673,210.264,83.53692,299.6,65.58013,145.12618,104.06034,180.5733,101.8506,219.46951,77.82421,299.6,112.10952,112.10952,112.10952,112.10952,112.10952,112.10952,123.68872,198.34666
1,QLD1,2021/06/14 01:30:00,149.0,105.24881,177.07787,100.73002,235.74003,81.72339,287.6075,149.0,109.64495,153.19186,100.73002,196.26885,88.66466,287.6075,113.38996,113.38991,148.17763,113.38985,149.0,110.38316,211.0804,85.72998,296.30376,67.30177,149.0,103.68663,188.9418,100.73002,235.74003,74.156,1000.02,113.38991,113.38991,113.38991,113.38991,113.38991,113.38991,125.10135,196.26885
2,SA1,2021/06/14 01:30:00,112.57098,88.43995,128.42002,86.82995,139.91833,71.87636,123.40002,114.78166,88.99996,118.00002,83.89,151.30382,71.87636,249.97449,89.00005,89.0,117.44,88.99996,119.44734,86.64,153.97064,73.28143,224.12221,58.80059,110.8965,88.43995,130.70002,87.44,149.90635,71.87636,123.40002,89.0,89.0,89.0,89.0,89.0,89.0,95.44,178.03742
3,TAS1,2021/06/14 01:30:00,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,52.73728,27.34,54.73005,27.34,55.32,27.34,94.65093,27.34
4,VIC1,2021/06/14 01:30:00,124.5448,91.45503,146.23913,87.71717,160.26356,71.76,139.9799,126.99062,92.5457,132.82429,84.3975,174.32,71.76,289.69307,95.70667,95.70662,126.28972,95.70657,126.99062,93.16878,174.32,74.12906,250.82687,60.47,122.69221,91.45503,149.70484,89.51296,172.70996,71.76,139.9799,95.70662,95.70662,95.70662,95.70662,95.70662,95.70662,105.59165,174.32
0,NSW1,2021/06/14 02:00:00,80.64543,68.0,96.11413,67.6893,147.68712,44.14739,299.6,79.11121,68.97673,88.23435,68.0,100.46474,50.77961,193.67862,79.0965,68.97673,79.11121,68.97673,87.74422,68.46103,101.74572,50.07089,203.63093,43.09,80.64543,68.34036,95.323,67.6893,111.29893,47.37454,111.29893,73.86359,73.86359,73.86359,73.86359,73.86359,73.86359,79.11121,99.95896
1,QLD1,2021/06/14 02:00:00,82.6953,70.2537,97.82115,69.9327,146.97484,45.95453,280.92787,81.12208,70.73,89.80142,70.2537,100.73003,52.85823,189.89,81.107,70.73,81.12208,70.73,89.30259,70.73,103.55276,50.96017,202.64883,42.88218,83.94659,69.55411,100.73002,67.36284,149.0,44.42199,1000.01,75.74107,75.74107,75.74107,75.74107,75.74107,75.74107,81.12208,100.73002
2,SA1,2021/06/14 02:00:00,71.82473,62.04592,83.05409,62.04592,117.44,42.26705,118.0,71.82473,62.04592,80.00002,60.56241,89.0,44.17335,166.80222,72.59543,61.03693,73.79363,60.03644,84.87002,57.93223,87.44,45.83382,163.2701,40.14262,71.82473,62.04592,83.05409,62.04592,89.0,45.35675,89.0,67.06044,67.06044,67.06044,67.06044,67.06044,67.06044,71.82473,102.33694
3,TAS1,2021/06/14 02:00:00,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,27.34,53.81031,27.34,55.29752,27.34,55.32,27.34,64.48409,27.34
