,REGIONID,DATETIME,RRPEEP1,RRPEEP2,RRPEEP3,RRPEEP4,RRPEEP5,RRPEEP6,RRPEEP7,RRPEEP8,RRPEEP9,RRPEEP10,RRPEEP11,RRPEEP12,RRPEEP13,RRPEEP14,RRPEEP15,RRPEEP16,RRPEEP17,RRPEEP18,RRPEEP19,RRPEEP20,RRPEEP25,RRPEEP26,RRPEEP27,RRPEEP28,RRPEEP29,RRPEEP30,RRPEEP31,RRPEEP32,RRPEEP33,RRPEEP34,RRPEEP35,RRPEEP36,RRPEEP37,RRPEEP38,RRPEEP39,RRPEEP40,RRPEEP41,RRPEEP42,RRPEEP43
0,NSW1,2021/03/12 00:00:00,35.5801,35.5801,35.5801,35.5795,39.12008,35.47,56.95121,35.5801,35.5801,35.5801,35.5795,39.12008,35.47,35.5801,35.5801,35.5801,35.5801,35.5801,35.5801,35.5801,35.5801,35.47,45.32004,32.49983,35.5801,35.5801,35.5801,35.5795,36.89905,35.47,51.99995,35.5801,35.5801,35.5801,35.5801,35.5801,35.5801,35.5801,35.5801
1,QLD1,2021/03/12 00:00:00,34.58828,34.58828,34.58828,34.5877,38.02959,34.48125,52.9513,34.58828,34.58828,34.58828,34.5877,38.02959,34.48125,34.58828,34.58828,34.58828,34.58828,34.58828,34.58828,34.58828,35.20738,33.7207,43.73009,30.44197,35.20738,33.82537,35.90336,33.32664,38.95,31.31653,195.0,34.58828,34.58828,34.58828,34.58828,34.58828,34.58828,34.58828,34.58828
2,SA1,2021/03/12 00:00:00,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,532.21533,119.0,76.37,119.0,62.0,379.95,48.2477,119.0,76.37,119.4807,62.0,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,15000.0
3,TAS1,2021/03/12 00:00:00,32.92199,32.92199,32.92199,32.92144,36.19847,32.82009,51.23192,33.54627,32.30723,34.18029,31.70124,55.843,29.84649,447.62698,32.92199,32.92199,32.92199,32.92199,32.92199,32.92199,33.54627,32.20723,43.53969,28.95643,32.92199,32.92199,32.92199,32.92144,34.14277,32.82009,48.11963,33.4959,32.27558,34.17227,31.64473,34.86572,31.10786,58.50666,32.92199
4,VIC1,2021/03/12 00:00:00,35.34711,35.34711,35.34711,35.34651,38.8639,35.23773,55.0,36.01717,34.68726,36.6977,34.03682,60.57673,32.04602,490.52807,35.34711,35.34711,35.34711,35.34711,35.34711,35.34711,36.01717,34.57992,46.74357,31.09068,35.34711,35.34711,35.34711,35.34651,36.65742,35.23773,51.65943,35.68085,35.01592,36.01717,34.68726,36.35611,34.36109,37.04196,35.34711
0,NSW1,2021/03/12 00:30:00,35.5801,35.5801,39.12008,35.5801,41.8,35.47,59.29278,35.5801,35.5801,39.12008,35.5801,41.8,35.47018,41.8,35.5801,35.5801,35.5801,35.5801,35.5801,35.5801,39.1501,35.55,45.49028,32.5,35.5801,35.5801,38.3298,35.5801,41.18939,35.47018,41.8,35.5801,35.5801,35.5801,35.5801,39.12008,35.5801,39.1501,35.5801
1,QLD1,2021/03/12 00:30:00,35.30848,35.30848,38.82144,35.30848,40.56361,35.19922,55.73003,35.30848,35.30848,38.82144,35.30848,40.56361,35.1994,40.56361,35.30848,35.30848,35.30848,35.30848,35.30848,35.30848,38.9,34.49848,44.80744,31.0731,36.1094,34.52769,38.9,34.01796,43.73009,31.96198,288.0,35.30848,35.30848,35.30848,35.30848,38.82144,35.30848,38.85123,35.30848
2,SA1,2021/03/12 00:30:00,62.0,62.0,62.0,62.0,62.0,62.0,62.9808,62.0,62.0,62.0,62.0,62.0,62.0,73.92906,62.0,61.0,62.0,55.83,379.95,41.0,62.0,61.0,62.0,55.83,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,13100.02
3,TAS1,2021/03/12 00:30:00,31.68097,31.68097,34.83397,31.68097,37.22093,31.58291,50.57021,32.28518,31.08587,36.17285,30.49966,41.26412,28.70348,59.06,31.68097,31.68097,31.68097,31.68097,31.68097,31.3823,35.52554,31.05956,42.0647,27.85853,31.68097,31.68097,34.13008,31.68097,36.67707,31.58307,37.22093,32.31759,31.0597,32.88286,30.53093,36.88789,14.2,49.66413,31.68097
4,VIC1,2021/03/12 00:30:00,34.28203,34.28203,37.69286,34.28203,40.27501,34.17594,55.0,34.93564,33.63826,39.14122,33.00411,44.64882,31.06105,65.22709,34.28203,34.28203,34.28203,34.28203,34.28203,33.95893,38.44098,33.6098,45.51487,30.14701,34.28203,34.28203,36.93141,34.28203,39.68667,34.17612,40.27501,34.60759,33.95893,34.93564,33.63826,38.77496,33.32,39.91288,34.28203
0,NSW1,2021/03/12 01:00:00,35.5801,35.55,35.5801,35.55,39.12008,32.5,46.14349,35.5801,35.55,35.5801,35.55,39.15005,34.35902,39.12008,35.5797,35.5797,35.5797,35.5797,35.5797,35.55,39.12,35.46974,41.8,31.52263,35.5801,35.55,35.5801,35.55,39.12,32.5,39.15005,35.5801,35.5797,35.5801,35.55,35.5801,35.55,35.5801,35.5797
1,QLD1,2021/03/12 01:00:00,34.73709,34.7077,34.73709,34.7077,38.19319,31.72997,43.73009,34.73709,34.7077,34.73709,34.7077,38.22245,33.54493,38.19319,34.7367,34.7367,34.7367,34.7367,34.7367,34.7077,38.76693,33.86513,41.42274,29.53531,35.25898,33.94176,36.05861,33.30878,41.16286,28.81654,100.0,34.73709,34.7367,34.73709,34.7077,34.73709,34.7077,34.73709,34.7367
2,SA1,2021/03/12 01:00:00,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,83.65476,62.0,62.0,98.6,43.732,119.0,38.59264,62.0,62.0,98.6,41.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,13100.02
