,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90
1245,TAS1,2021-01-22 09:00:00,1188,1169,1150
1660,VIC1,2021-01-22 09:00:00,5203,5094,4985
0,NSW1,2021-01-22 09:30:00,7823,7683,7544
414,QLD1,2021-01-22 09:30:00,6147,6059,5970
828,SA1,2021-01-22 09:30:00,1234,1184,1135
1242,TAS1,2021-01-22 09:30:00,1176,1157,1138
1656,VIC1,2021-01-22 09:30:00,5091,4984,4877
0,NSW1,2021-01-22 10:00:00,7868,7727,7587
413,QLD1,2021-01-22 10:00:00,5985,5899,5813
826,SA1,2021-01-22 10:00:00,1132,1087,1042
1239,TAS1,2021-01-22 10:00:00,1157,1139,1119
1652,VIC1,2021-01-22 10:00:00,5018,4913,4807
0,NSW1,2021-01-22 10:30:00,7828,7688,7548
412,QLD1,2021-01-22 10:30:00,5945,5860,5774
824,SA1,2021-01-22 10:30:00,1090,1046,1003
1236,TAS1,2021-01-22 10:30:00,1115,1098,1080
1648,VIC1,2021-01-22 10:30:00,5020,4915,4809
0,NSW1,2021-01-22 11:00:00,8024,7881,7738
411,QLD1,2021-01-22 11:00:00,5888,5804,5718
822,SA1,2021-01-22 11:00:00,1045,1004,962
1233,TAS1,2021-01-22 11:00:00,1128,1112,1094
1644,VIC1,2021-01-22 11:00:00,4971,4866,4762
0,NSW1,2021-01-22 11:30:00,8167,8021,7875
410,QLD1,2021-01-22 11:30:00,5861,5777,5692
820,SA1,2021-01-22 11:30:00,1043,1001,959
1230,TAS1,2021-01-22 11:30:00,1116,1099,1083
1640,VIC1,2021-01-22 11:30:00,4943,4839,4735
0,NSW1,2021-01-22 12:00:00,8462,8311,8160
409,QLD1,2021-01-22 12:00:00,5889,5804,5719
818,SA1,2021-01-22 12:00:00,1049,1007,965
1227,TAS1,2021-01-22 12:00:00,1109,1092,1076
1636,VIC1,2021-01-22 12:00:00,4945,4841,4737
0,NSW1,2021-01-22 12:30:00,8608,8454,8301
408,QLD1,2021-01-22 12:30:00,6013,5927,5839
816,SA1,2021-01-22 12:30:00,1041,999,958
1224,TAS1,2021-01-22 12:30:00,1105,1088,1072
1632,VIC1,2021-01-22 12:30:00,4880,4777,4675
0,NSW1,2021-01-22 13:00:00,8971,8811,8651
407,QLD1,2021-01-22 13:00:00,6061,5974,5886
814,SA1,2021-01-22 13:00:00,1069,1026,983
1221,TAS1,2021-01-22 13:00:00,1102,1086,1069
1628,VIC1,2021-01-22 13:00:00,4930,4827,4723
0,NSW1,2021-01-22 13:30:00,9375,9208,9040
406,QLD1,2021-01-22 13:30:00,6116,6027,5939
812,SA1,2021-01-22 13:30:00,1100,1056,1012
1218,TAS1,2021-01-22 13:30:00,1107,1091,1074
1624,VIC1,2021-01-22 13:30:00,5016,4911,4805
0,NSW1,2021-01-22 14:00:00,9617,9445,9273
405,QLD1,2021-01-22 14:00:00,6368,6276,6184
810,SA1,2021-01-22 14:00:00,1160,1113,1067
1215,TAS1,2021-01-22 14:00:00,1115,1099,1081
1620,VIC1,2021-01-22 14:00:00,5131,5023,4916
0,NSW1,2021-01-22 14:30:00,10038,9859,9680
404,QLD1,2021-01-22 14:30:00,6453,6360,6267
808,SA1,2021-01-22 14:30:00,1173,1126,1079
1212,TAS1,2021-01-22 14:30:00,1116,1100,1083
1616,VIC1,2021-01-22 14:30:00,5134,5026,4919
0,NSW1,2021-01-22 15:00:00,10344,10159,9974
403,QLD1,2021-01-22 15:00:00,6543,6449,6355
806,SA1,2021-01-22 15:00:00,1247,1197,1147
1209,TAS1,2021-01-22 15:00:00,1125,1108,1092
1612,VIC1,2021-01-22 15:00:00,5293,5182,5070
0,NSW1,2021-01-22 15:30:00,10807,10614,10421
402,QLD1,2021-01-22 15:30:00,6777,6680,6582
804,SA1,2021-01-22 15:30:00,1308,1255,1203
